employer,job_title,job_year_begin,job_year_end,reason_end,full_name,birthdate,deathdate,birthplace,birthyear,deathyear,nth_job,bachelors_year,masters_year,phd_year,bachelors_age,masters_age,phd_age
University of Washington,Associate,1928,1950,Retired,Constance Juliet Ballantine,"August 15, 1896","January 14, 1974","Lincoln, Nebraska",1896,1974.0,4,1916.0,1919.0,1923.0,20.0,23.0,27.0
St. John Baptist School,Teacher of Mathematics and Science,1926,1928,Moved to Darlington Seminary,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0,1,1926.0,1931.0,1933.0,21.0,26.0,28.0
Darlington Seminary,Teacher,1928,1929,Returned to St. John Baptist School,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0,2,1926.0,1931.0,1933.0,21.0,26.0,28.0
St. John Baptist School,Teacher,1929,1931,Completed graduate studies,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0,3,1926.0,1931.0,1933.0,21.0,26.0,28.0
Institute for Advanced Study,Member,1933,1935,Joined University of Nebraska,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0,4,1926.0,1931.0,1933.0,21.0,26.0,28.0
University of Nebraska,Instructor,1935,1937,Joined University of Utah,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0,5,1926.0,1931.0,1933.0,21.0,26.0,28.0
University of Utah,Instructor,1937,1941,Promoted to Assistant Professor,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0,6,1926.0,1931.0,1933.0,21.0,26.0,28.0
University of Utah,Assistant Professor,1941,1947,Promoted to Associate Professor,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0,7,1926.0,1931.0,1933.0,21.0,26.0,28.0
University of Utah,Associate Professor,1947,1956,Moved to New Mexico,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0,8,1926.0,1931.0,1933.0,21.0,26.0,28.0
St. Michael's College (College of Santa Fe),Lecturer,1957,1962,Became Professor,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0,9,1926.0,1931.0,1933.0,21.0,26.0,28.0
University of New Mexico,Lecturer,1959,1962,Became Professor at St. Michael's,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0,10,1926.0,1931.0,1933.0,21.0,26.0,28.0
St. Michael's College (College of Santa Fe),Professor,1962,1971,Retired,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0,11,1926.0,1931.0,1933.0,21.0,26.0,28.0
Brown University,Assistant,1929,1931,Financial reasons,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0,1,1928.0,1929.0,1939.0,22.0,23.0,33.0
University of South Dakota,Instructor,1931,1933,Marriage forced resignation due to depression-era policies,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0,2,1928.0,1929.0,1939.0,22.0,23.0,33.0
University of South Dakota,Acting Head of Mathematics Department,1938,1939,Took extended leave to raise children,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0,3,1928.0,1929.0,1939.0,22.0,23.0,33.0
University of South Dakota,Assistant Professor,1938,1941,Took extended leave to raise children,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0,4,1928.0,1929.0,1939.0,22.0,23.0,33.0
University of South Dakota,Assistant Professor,1955,1958,Promoted,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0,5,1928.0,1929.0,1939.0,22.0,23.0,33.0
University of South Dakota,Associate Professor,1958,1961,Promoted,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0,6,1928.0,1929.0,1939.0,22.0,23.0,33.0
University of South Dakota,Professor,1961,1976,Retirement,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0,7,1928.0,1929.0,1939.0,22.0,23.0,33.0
Yankton College,Professor,1976,,,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0,8,1928.0,1929.0,1939.0,22.0,23.0,33.0
Delta State Teachers College,Professor and Chairman of Mathematics,1930,1938,Marriage to Alfred Joseph Maria,Deborah May Hickey Maria,"December 16, 1904","June 8, 2001","Lumberton, Mississippi",1904,2001.0,1,1926.0,1927.0,1929.0,22.0,23.0,25.0
Brooklyn College,"Instructor, Assistant Professor, Associate Professor",1939,1975,Retirement,Deborah May Hickey Maria,"December 16, 1904","June 8, 2001","Lumberton, Mississippi",1904,2001.0,2,1926.0,1927.0,1929.0,22.0,23.0,25.0
Queens College,Instructor,1942,1943,Temporary Position,Deborah May Hickey Maria,"December 16, 1904","June 8, 2001","Lumberton, Mississippi",1904,2001.0,3,1926.0,1927.0,1929.0,22.0,23.0,25.0
"High School in Massena, New York",Mathematics Teacher,1921,1922,Accepted position at Brown University,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0,1,1921.0,1924.0,1936.0,21.0,24.0,36.0
Brown University,Graduate Assistant,1922,1924,Completed MA degree,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0,2,1921.0,1924.0,1936.0,21.0,24.0,36.0
Hood College,Instructor of Mathematics,1924,1927,Pursued further graduate work at University of Chicago,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0,3,1921.0,1924.0,1936.0,21.0,24.0,36.0
Randolph-Macon Woman’s College,Associate Professor,1929,1941,Promoted to full professor,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0,4,1921.0,1924.0,1936.0,21.0,24.0,36.0
Randolph-Macon Woman’s College,Full Professor,1941,1964,Death,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0,5,1921.0,1924.0,1936.0,21.0,24.0,36.0
Wellesley College,Lecturer,1942,1943,Returned to Randolph-Macon,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0,6,1921.0,1924.0,1936.0,21.0,24.0,36.0
Emory University,Summer Instructor,1949,1949,Summer position ended,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0,7,1921.0,1924.0,1936.0,21.0,24.0,36.0
High Schools,Teacher,1911,1924,Moved to college teaching,Ethel Louise Anderton,"September 23, 1888","February 19, 1971","Dover, New Hampshire",1888,1971.0,1,1911.0,1922.0,1925.0,23.0,34.0,37.0
Wellesley College,Instructor,1924,1927,Moved to Smith College,Ethel Louise Anderton,"September 23, 1888","February 19, 1971","Dover, New Hampshire",1888,1971.0,2,1911.0,1922.0,1925.0,23.0,34.0,37.0
Smith College,Assistant Professor,1927,1928,Moved to Mount Holyoke College,Ethel Louise Anderton,"September 23, 1888","February 19, 1971","Dover, New Hampshire",1888,1971.0,3,1911.0,1922.0,1925.0,23.0,34.0,37.0
Mount Holyoke College,Assistant Professor,1928,1931,Moved to Goucher College,Ethel Louise Anderton,"September 23, 1888","February 19, 1971","Dover, New Hampshire",1888,1971.0,4,1911.0,1922.0,1925.0,23.0,34.0,37.0
Goucher College,Faculty Member (Replacement),1931,1932,End of replacement term,Ethel Louise Anderton,"September 23, 1888","February 19, 1971","Dover, New Hampshire",1888,1971.0,5,1911.0,1922.0,1925.0,23.0,34.0,37.0
West Haven High School,Teacher and Head of Mathematics Department,1933,1954,Retirement,Ethel Louise Anderton,"September 23, 1888","February 19, 1971","Dover, New Hampshire",1888,1971.0,6,1911.0,1922.0,1925.0,23.0,34.0,37.0
New York College for Teachers (SUNY Albany),Instructor,1929,1967,Retired as emeritus professor,Caroline Avery Lester,"April 6, 1902","December 29, 1996","Seneca Falls, New York",1902,1996.0,1,1924.0,1928.0,1937.0,22.0,26.0,35.0
United States Coast Guard (Women's Reserve),Lieutenant,1943,1945,End of World War II service,Caroline Avery Lester,"April 6, 1902","December 29, 1996","Seneca Falls, New York",1902,1996.0,2,1924.0,1928.0,1937.0,22.0,26.0,35.0
Randolph-Macon Woman’s College,Instructor in Mathematics,1903,1909,Promotion to Adjunct Professor,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0,1,1903.0,1911.0,1916.0,21.0,29.0,34.0
Randolph-Macon Woman’s College,Adjunct Professor,1909,1918,Promotion to Associate Professor,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0,2,1903.0,1911.0,1916.0,21.0,29.0,34.0
Randolph-Macon Woman’s College,Associate Professor,1918,1921,Promotion to Professor,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0,3,1903.0,1911.0,1916.0,21.0,29.0,34.0
Randolph-Macon Woman’s College,Professor,1921,1936,Promotion to Head of Department,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0,4,1903.0,1911.0,1916.0,21.0,29.0,34.0
Randolph-Macon Woman’s College,Head of Department,1936,1950,Position given to M. Gweneth Humphreys,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0,5,1903.0,1911.0,1916.0,21.0,29.0,34.0
Randolph-Macon Woman’s College,Dean of the College,1950,1953,Retirement,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0,6,1903.0,1911.0,1916.0,21.0,29.0,34.0
West Virginia University,Graduate Assistant,1923,1925,Completed Master's degree,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0,1,1923.0,1925.0,1930.0,21.0,23.0,28.0
Potomac State School,Head of Mathematics Department,1925,1927,Moved to University of Illinois,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0,2,1923.0,1925.0,1930.0,21.0,23.0,28.0
University of Illinois,Assistant/Fellow,1927,1930,Completed PhD,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0,3,1923.0,1925.0,1930.0,21.0,23.0,28.0
American College for Girls,Professor,1930,1934,Returned to United States,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0,4,1923.0,1925.0,1930.0,21.0,23.0,28.0
University of Chicago High School,Teacher,1934,1935,Appointed at Kent State University,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0,5,1923.0,1925.0,1930.0,21.0,23.0,28.0
Kent State University,Instructor/Assistant Professor/Associate Professor/Professor,1935,1972,Retirement,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0,6,1923.0,1925.0,1930.0,21.0,23.0,28.0
"High School in Escanaba, Michigan",Teacher,1915,1915,Recalled to teach at the Academy of Our Lady,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0,1,1921.0,,1931.0,27.0,,37.0
"Academy of Our Lady, Chicago",Teacher,1915,1925,Transferred to St. Mary's College,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0,2,1921.0,,1931.0,27.0,,37.0
"St. Mary's College, Prairie du Chien, Wisconsin",Teacher,1925,1928,Sabbatical leave for full-time study,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0,3,1921.0,,1931.0,27.0,,37.0
"Mount Mary College, Milwaukee",Chairman of the Mathematics Department,1931,1967,Retirement,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0,4,1921.0,,1931.0,27.0,,37.0
"Loyola University, Chicago",Lecturer,1930,1934,,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0,5,1921.0,,1931.0,27.0,,37.0
"Marquette University, Milwaukee",Graduate Course Teacher,1930,1934,,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0,6,1921.0,,1931.0,27.0,,37.0
Hunter College,Tutor,1935,1938,Promoted to Instructor,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0,1,1932.0,1933.0,1936.0,20.0,21.0,24.0
Hunter College,Instructor,1938,1949,Resigned,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0,2,1932.0,1933.0,1936.0,20.0,21.0,24.0
Eastern Michigan University,Assistant Professor,1956,1959,Promoted to Associate Professor,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0,3,1932.0,1933.0,1936.0,20.0,21.0,24.0
Eastern Michigan University,Associate Professor,1959,1967,Promoted to Professor,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0,4,1932.0,1933.0,1936.0,20.0,21.0,24.0
Eastern Michigan University,Professor,1967,1975,Retired,Madeline Early (Levin),"April 1, 1912","January 20, 2001","Brooklyn, New York",1912,2001.0,5,1932.0,1933.0,1936.0,20.0,21.0,24.0
Hillside School,Third Assistant,late 1870s,early 1880s,,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0,1,,1889.0,1886.0,,33.0,30.0
Bryn Mawr School,Teacher,1891,1892,Left to pursue doctorate,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0,2,,1889.0,1886.0,,33.0,30.0
"Girls’ High School, New York City",Second Assistant for History,1897,1910,Left for civil service position,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0,3,,1889.0,1886.0,,33.0,30.0
City of New York,Civil Service Examiner,1910,1912,Promoted to Statistician,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0,4,,1889.0,1886.0,,33.0,30.0
"Department of Finance, New York City",Statistician,1912,1921,Retirement,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0,5,,1889.0,1886.0,,33.0,30.0
City of New York,Civil Service Examiner (per diem),1930,1939,Retirement,Ida Martha Metcalf,"August 26, 1856","October 24, 1952",Texas,1856,1952.0,6,,1889.0,1886.0,,33.0,30.0
Harvard University,Research Assistant,1932,1933,End of Milton Fund grant,Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0,1,1929.0,1930.0,1932.0,22.0,23.0,25.0
Rice Institute,National Research Fellow,1933,1934,End of fellowship,Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0,2,1929.0,1930.0,1932.0,22.0,23.0,25.0
University of Houston,Instructor,1934,1935,"Great Depression, no academic employment secured",Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0,3,1929.0,1930.0,1932.0,22.0,23.0,25.0
American Mathematical Society,Editorial Assistant,1937,1938,Became instructor at Queens College,Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0,4,1929.0,1930.0,1932.0,22.0,23.0,25.0
Queens College,Instructor,1938,1946,Promoted to Assistant Professor,Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0,5,1929.0,1930.0,1932.0,22.0,23.0,25.0
Queens College,Assistant Professor,1946,1958,Death,Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0,6,1929.0,1930.0,1932.0,22.0,23.0,25.0
Cobleskill High School,Physics and Algebra Teacher,1924,1926,Left to pursue further education,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0,1,1924.0,1927.0,1930.0,20.0,23.0,26.0
Mount Holyoke College,Instructor of Mathematics,1929,1930,Left to join Pennsylvania State College,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0,2,1924.0,1927.0,1930.0,20.0,23.0,26.0
Pennsylvania State College,Instructor of Mathematics,1930,1931,Left due to marriage and family responsibilities,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0,3,1924.0,1927.0,1930.0,20.0,23.0,26.0
Pennsylvania State University,Instructor (part-time),1936,1944,Transitioned to full-time faculty,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0,4,1924.0,1927.0,1930.0,20.0,23.0,26.0
Pennsylvania State University,Assistant Professor,1947,1952,Promoted to Associate Professor,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0,5,1924.0,1927.0,1930.0,20.0,23.0,26.0
Pennsylvania State University,Associate Professor,1952,1962,Promoted to Professor,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0,6,1924.0,1927.0,1930.0,20.0,23.0,26.0
Pennsylvania State University,Professor,1962,1969,Retirement,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0,7,1924.0,1927.0,1930.0,20.0,23.0,26.0
Randolph-Macon Woman’s College,Instructor,1937,1939,No position available,Virginia Modesitt Reklis,"June 15, 1910","November 29, 2000","Bloomington, Indiana",1910,2000.0,1,1931.0,1932.0,1937.0,21.0,22.0,27.0
Wright Junior College,Instructor,1939,1943,College taken over by the Navy,Virginia Modesitt Reklis,"June 15, 1910","November 29, 2000","Bloomington, Indiana",1910,2000.0,2,1931.0,1932.0,1937.0,21.0,22.0,27.0
"Ballistic Research Laboratories, Army Service Forces","Computer, then Mathematician",1944,1947,Not specified,Virginia Modesitt Reklis,"June 15, 1910","November 29, 2000","Bloomington, Indiana",1910,2000.0,3,1931.0,1932.0,1937.0,21.0,22.0,27.0
University of Maryland,Instructor of extension courses,1960,1965,Not specified,Virginia Modesitt Reklis,"June 15, 1910","November 29, 2000","Bloomington, Indiana",1910,2000.0,4,1931.0,1932.0,1937.0,21.0,22.0,27.0
University of Delaware,Instructor of extension courses,1962,1966,Not specified,Virginia Modesitt Reklis,"June 15, 1910","November 29, 2000","Bloomington, Indiana",1910,2000.0,5,1931.0,1932.0,1937.0,21.0,22.0,27.0
Binghamton Central High School,Teacher,1894,1898,Left to pursue further studies,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0,1,1894.0,1900.0,1908.0,28.0,34.0,42.0
Wells College,Professor,1901,1920,Retired due to ill health,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0,2,1894.0,1900.0,1908.0,28.0,34.0,42.0
University of Arizona,Mathematics Teacher,1918,1918,Temporary position,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0,3,1894.0,1900.0,1908.0,28.0,34.0,42.0
Whittier College,Temporary Faculty Member,1924,1924,Temporary replacement,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0,4,1894.0,1900.0,1908.0,28.0,34.0,42.0
Tosten High School,High School Teacher,1930,1932,Moved to graduate studies,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0,1,1929.0,1934.0,1935.0,21.0,26.0,27.0
Colstrip Schools,Teacher,1935,1936,Promoted to superintendent,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0,2,1929.0,1934.0,1935.0,21.0,26.0,27.0
Colstrip Schools,Superintendent of Schools,1936,1937,Moved to Washington,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0,3,1929.0,1934.0,1935.0,21.0,26.0,27.0
Washington State High School,High School Teacher,1937,1938,Moved to San Francisco Junior College,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0,4,1929.0,1934.0,1935.0,21.0,26.0,27.0
San Francisco Junior College,Instructor,1940,1945,Moved to Montana State University,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0,5,1929.0,1934.0,1935.0,21.0,26.0,27.0
Montana State University,Assistant Professor,1946,1947,Returned to Pacific University,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0,6,1929.0,1934.0,1935.0,21.0,26.0,27.0
Pacific University,Associate Professor and Secretary of the Faculty,1947,1949,Moved to Mills College,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0,7,1929.0,1934.0,1935.0,21.0,26.0,27.0
Mills College,"Assistant Professor of Mathematics and Physics, Department Head",1952,1957,Moved to Chico State College,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0,8,1929.0,1934.0,1935.0,21.0,26.0,27.0
Chico State College,Assistant Professor,1957,1959,Returned to Pacific University,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0,9,1929.0,1934.0,1935.0,21.0,26.0,27.0
Pacific University,"Associate Professor, later Professor and Department Chair",1959,1965,Retired,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0,10,1929.0,1934.0,1935.0,21.0,26.0,27.0
"Bryn Mawr School, Baltimore",Teacher of Latin,1895,1895,Resumed studies,Emilie Norton Martin,"December 30, 1869","February 8, 1936","Elizabeth, New Jersey",1869,1936.0,1,1894.0,,1901.0,25.0,,32.0
"Misses Kirk’s School, Rosemont, Pennsylvania",Teacher of Mathematics,1899,1900,,Emilie Norton Martin,"December 30, 1869","February 8, 1936","Elizabeth, New Jersey",1869,1936.0,2,1894.0,,1901.0,25.0,,32.0
Mount Holyoke College,Instructor,1903,1911,Promoted to Associate Professor,Emilie Norton Martin,"December 30, 1869","February 8, 1936","Elizabeth, New Jersey",1869,1936.0,3,1894.0,,1901.0,25.0,,32.0
Mount Holyoke College,Associate Professor,1911,1925,Promoted to Professor,Emilie Norton Martin,"December 30, 1869","February 8, 1936","Elizabeth, New Jersey",1869,1936.0,4,1894.0,,1901.0,25.0,,32.0
Mount Holyoke College,Professor,1925,1935,Resigned,Emilie Norton Martin,"December 30, 1869","February 8, 1936","Elizabeth, New Jersey",1869,1936.0,5,1894.0,,1901.0,25.0,,32.0
Mount Holyoke College,Department Chairman,1927,1935,Resigned,Emilie Norton Martin,"December 30, 1869","February 8, 1936","Elizabeth, New Jersey",1869,1936.0,6,1894.0,,1901.0,25.0,,32.0
Watertown High School,Teacher of mathematics and Latin,1906,1907,,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0,1,1904.0,1905.0,1922.0,23.0,24.0,41.0
Vassar College,Substitute in mathematics,1907,1908,,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0,2,1904.0,1905.0,1922.0,23.0,24.0,41.0
Poughkeepsie High School,Teacher of mathematics,1908,1909,,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0,3,1904.0,1905.0,1922.0,23.0,24.0,41.0
Sweet Briar College,Instructor in mathematics and Latin,1909,1916,Promotion,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0,4,1904.0,1905.0,1922.0,23.0,24.0,41.0
Sweet Briar College,Associate professor of mathematics,1916,1918,Promotion,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0,5,1904.0,1905.0,1922.0,23.0,24.0,41.0
Sweet Briar College,Professor of mathematics and head of the department,1918,1946,Retirement,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0,6,1904.0,1905.0,1922.0,23.0,24.0,41.0
Connecticut College,Teacher,1947,1947,,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0,7,1904.0,1905.0,1922.0,23.0,24.0,41.0
Mrs. Sylvanus Reed’s Boarding and Day School for Young Ladies,Teacher,1884,1887,Marriage,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0,1,1883.0,,1886.0,21.0,,24.0
Emma Willard School,Teacher,1894,1895,End of employment period,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0,2,1883.0,,1886.0,21.0,,24.0
Highcliff Hall,Head of Mathematics Department,1904,1906,Founded Oaksmere School,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0,3,1883.0,,1886.0,21.0,,24.0
Oaksmere School for Girls,Principal,1906,1928,Closed the school,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0,4,1883.0,,1886.0,21.0,,24.0
The Barbizon,Director of the Three Arts Wing,1928,,End of employment period,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0,5,1883.0,,1886.0,21.0,,24.0
"Girls' school in Hollidaysburg, Pennsylvania",Teacher,1869,1871,"Accepted a position at a seminary in Washington, Pennsylvania",Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0,1,1869.0,,1926.0,22.0,,79.0
"Seminary in Washington, Pennsylvania",Teacher,1871,1873,"Moved to Boston, Massachusetts",Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0,2,1869.0,,1926.0,22.0,,79.0
Chelsea High School,Teacher,1873,1875,"Moved to Union Springs, New York",Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0,3,1869.0,,1926.0,22.0,,79.0
"Howland School, Union Springs, New York",Professor of Natural Sciences and Chemistry,1875,1878,Moved to study at Johns Hopkins University,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0,4,1869.0,,1926.0,22.0,,79.0
Miss Randolph’s school,Teacher,1887,1887,No private pupils at present,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0,5,1869.0,,1926.0,22.0,,79.0
Johns Hopkins University,Part-time Lecturer in Logic and Psychology,1904,1909,Moved to New York,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0,6,1869.0,,1926.0,22.0,,79.0
Columbia University,Unpaid Part-time Lecturer in Logic and Psychology,1909,,,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0,7,1869.0,,1926.0,22.0,,79.0
"High School in Grandview, Texas",Teacher,1908,1909,Moved to Smith College,Goldie Printis Horton Porter,"September 4, 1887","May 11, 1972","Athens, Texas",1887,1972.0,1,1908.0,1910.0,1916.0,21.0,23.0,29.0
"High School in Amarillo, Texas",Teacher,1910,1912,Continued studies at Bryn Mawr College,Goldie Printis Horton Porter,"September 4, 1887","May 11, 1972","Athens, Texas",1887,1972.0,2,1908.0,1910.0,1916.0,21.0,23.0,29.0
