degree_institution_name,degree_type,degree_year,degree_advisor,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
University of California,PhD,1935,Derrick Norman Lehmer,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0
Bryn Mawr College,BA,1894,,Emilie Norton Martin,"December 30, 1869","February 8, 1936","Elizabeth, New Jersey",1869,1936.0
Bryn Mawr College,PhD,1901,James Harkness,Emilie Norton Martin,"December 30, 1869","February 8, 1936","Elizabeth, New Jersey",1869,1936.0
Vassar College,BA,1904,,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Vassar College,MA,1905,,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Columbia University,PhD,1922,Edward Kasner,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Wellesley College,BA,1883,,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0
Columbia College,PhD,1886,John Howard Van Amringe,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0
Vassar College,BA,1869,,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0
Johns Hopkins University,PhD,1926,Charles Sanders Peirce,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0
University of Texas,BA,1908,,Goldie Printis Horton Porter,"September 4, 1887","May 11, 1972","Athens, Texas",1887,1972.0
Smith College,MA,1910,,Goldie Printis Horton Porter,"September 4, 1887","May 11, 1972","Athens, Texas",1887,1972.0
University of Texas,PhD,1916,Milton Brockett Porter,Goldie Printis Horton Porter,"September 4, 1887","May 11, 1972","Athens, Texas",1887,1972.0
University of Colorado,BA,1912,,Claribel Kendall,"January 23, 1889","April 17, 1965","Denver, Colorado",1889,1965.0
University of Colorado,BEd,1912,,Claribel Kendall,"January 23, 1889","April 17, 1965","Denver, Colorado",1889,1965.0
University of Colorado,MA,1914,Saul Epsteen and Ira M. DeLong,Claribel Kendall,"January 23, 1889","April 17, 1965","Denver, Colorado",1889,1965.0
University of Chicago,PhD,1921,Ernest Julius Wilczynski,Claribel Kendall,"January 23, 1889","April 17, 1965","Denver, Colorado",1889,1965.0
Iowa State College of Agriculture and Mechanic Arts,BS,1909,,Fay Farnum,"August 24, 1888","March 11, 1977","Spencer, Iowa",1888,1977.0
Cornell University,MA,1915,,Fay Farnum,"August 24, 1888","March 11, 1977","Spencer, Iowa",1888,1977.0
Cornell University,PhD,1926,Virgil Snyder,Fay Farnum,"August 24, 1888","March 11, 1977","Spencer, Iowa",1888,1977.0
Monmouth College,BA,1916,,Dora McFarland,"April 18, 1895","November 26, 1987","near Aledo, Illinois",1895,1987.0
University of Oklahoma,MA,1921,,Dora McFarland,"April 18, 1895","November 26, 1987","near Aledo, Illinois",1895,1987.0
University of Chicago,PhD,1936,Leonard Eugene Dickson,Dora McFarland,"April 18, 1895","November 26, 1987","near Aledo, Illinois",1895,1987.0
Hunter College,BA,1923,,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
Columbia University (Teachers College),MA,1925,,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
University of Chicago,PhD,1931,Leonard Eugene Dickson,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
Northwestern University,BS,1935,,Elizabeth Audrey Wishard McMillan,"July 7, 1914","January 10, 2008","Jubbulpore, India",1914,2008.0
Radcliffe College,MA,1936,,Elizabeth Audrey Wishard McMillan,"July 7, 1914","January 10, 2008","Jubbulpore, India",1914,2008.0
Radcliffe College,PhD,1938,Lars V. Ahlfors,Elizabeth Audrey Wishard McMillan,"July 7, 1914","January 10, 2008","Jubbulpore, India",1914,2008.0
"University of California, Southern Branch",BEd,1923,,May Margaret Beenken,"October 22, 1901","December 21, 1988","Philadelphia, Pennsylvania",1901,1988.0
University of Chicago,MA,1926,Ernest Preston Lane,May Margaret Beenken,"October 22, 1901","December 21, 1988","Philadelphia, Pennsylvania",1901,1988.0
University of Chicago,PhD,1928,Ernest Preston Lane,May Margaret Beenken,"October 22, 1901","December 21, 1988","Philadelphia, Pennsylvania",1901,1988.0
Goucher College,BA,1913,,Helen Barton,"August 9, 1891","March 19, 1971","Baltimore, Maryland",1891,1971.0
Johns Hopkins University,MA,1922,Frank Morley,Helen Barton,"August 9, 1891","March 19, 1971","Baltimore, Maryland",1891,1971.0
Johns Hopkins University,PhD,1926,Frank Morley,Helen Barton,"August 9, 1891","March 19, 1971","Baltimore, Maryland",1891,1971.0
University of Buffalo,BS,1927,,Harriet Frances Montague,"June 9, 1905","March 19, 1997","Buffalo, New York",1905,1997.0
University of Buffalo,MA,1929,,Harriet Frances Montague,"June 9, 1905","March 19, 1997","Buffalo, New York",1905,1997.0
Cornell University,PhD,1935,Virgil Snyder,Harriet Frances Montague,"June 9, 1905","March 19, 1997","Buffalo, New York",1905,1997.0
Winthrop Normal and Industrial College of South Carolina,BA,1911,,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
Vanderbilt University,MA,1923,,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
Duke University,PhD,1931,Joseph Miller Thomas,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
Wellesley College,BA,1904,,Euphemia Richardson Worthington,"December 22, 1881","August 30, 1969","Troy, New York",1881,1969.0
Yale University,PhD,1908,James Pelham Pierpont,Euphemia Richardson Worthington,"December 22, 1881","August 30, 1969","Troy, New York",1881,1969.0
Goucher College,BA,1918,,Anna Marie Whelan,"September 6, 1895","June 14, 1966","Baltimore, Maryland",1895,1966.0
Johns Hopkins University,PhD,1923,Frank Morley,Anna Marie Whelan,"September 6, 1895","June 14, 1966","Baltimore, Maryland",1895,1966.0
University of Chicago,BS,1926,Unknown,Antoinette Marie Huston (née Killen),"November 23, 1904","July 13, 1993","Chicago, Illinois",1904,1993.0
University of Chicago,MS,1930,Lawrence Murray Graves,Antoinette Marie Huston (née Killen),"November 23, 1904","July 13, 1993","Chicago, Illinois",1904,1993.0
University of Chicago,PhD,1934,Abraham Adrian Albert,Antoinette Marie Huston (née Killen),"November 23, 1904","July 13, 1993","Chicago, Illinois",1904,1993.0
Woman’s College of Baltimore,BA,1907,,Bessie Irving Miller,"November 4, 1884","February 4, 1931","Baltimore, Maryland",1884,1931.0
Johns Hopkins University,PhD,1914,Arthur Byron Coble,Bessie Irving Miller,"November 4, 1884","February 4, 1931","Baltimore, Maryland",1884,1931.0
Indiana University,BA,1910,,Mary Gertrude Haseman,"March 6, 1889","April 9, 1979","Linton, Indiana",1889,1979.0
Bryn Mawr College,PhD,1917,Charlotte Angas Scott,Mary Gertrude Haseman,"March 6, 1889","April 9, 1979","Linton, Indiana",1889,1979.0
Shurtleff College,BS,1926,,Henrietta Pearl Terry Nee,"December 30, 1904","June 5, 1981","Virden, Illinois",1904,1981.0
University of Illinois,MA,1929,,Henrietta Pearl Terry Nee,"December 30, 1904","June 5, 1981","Virden, Illinois",1904,1981.0
University of Illinois,PhD,1934,H. R. Brahana,Henrietta Pearl Terry Nee,"December 30, 1904","June 5, 1981","Virden, Illinois",1904,1981.0
Concordia College,BA,1921,,Ruth Beatrice Rasmusen,"March 29, 1899","October 27, 1974","Moorhead, Minnesota",1899,1974.0
University of Chicago,MS,1926,Ernest Preston Lane,Ruth Beatrice Rasmusen,"March 29, 1899","October 27, 1974","Moorhead, Minnesota",1899,1974.0
University of Chicago,PhD,1936,Ernest Preston Lane,Ruth Beatrice Rasmusen,"March 29, 1899","October 27, 1974","Moorhead, Minnesota",1899,1974.0
Ohio State University,BA,1926,,Carolyn Grace Shover Quinn,"December 20, 1906","February 4, 1998","Grove City, Ohio",1906,1998.0
Ohio State University,BS,1926,,Carolyn Grace Shover Quinn,"December 20, 1906","February 4, 1998","Grove City, Ohio",1906,1998.0
Ohio State University,MA,1927,,Carolyn Grace Shover Quinn,"December 20, 1906","February 4, 1998","Grove City, Ohio",1906,1998.0
Ohio State University,PhD,1931,Cyrus Colton MacDuffee,Carolyn Grace Shover Quinn,"December 20, 1906","February 4, 1998","Grove City, Ohio",1906,1998.0
Hunter College,BA,1925,,Harriet Madeline Griffin,"April 6, 1903","January 13, 1991","Brooklyn, New York",1903,1991.0
Columbia University,MA,1929,,Harriet Madeline Griffin,"April 6, 1903","January 13, 1991","Brooklyn, New York",1903,1991.0
New York University,PhD,1939,Donald Alexander Flanders,Harriet Madeline Griffin,"April 6, 1903","January 13, 1991","Brooklyn, New York",1903,1991.0
Goucher College,BA,1919,,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
Bryn Mawr College,PhD,1925,Charlotte Angas Scott,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
Brown University,BA,1923,,Ellen Clayton Stokes,"September 27, 1900","May 23, 1974","Hackensack, New Jersey",1900,1974.0
Brown University,MA,1924,,Ellen Clayton Stokes,"September 27, 1900","May 23, 1974","Hackensack, New Jersey",1900,1974.0
University of Chicago,PhD,1939,Gilbert Ames Bliss,Ellen Clayton Stokes,"September 27, 1900","May 23, 1974","Hackensack, New Jersey",1900,1974.0
University of California,BA,1915,,Mary Helen Sagal (Sznyter),"June 21, 1893","March 24, 1975","Woodhaven, New York",1893,1975.0
University of California,MA,1916,J. H. McDonald,Mary Helen Sagal (Sznyter),"June 21, 1893","March 24, 1975","Woodhaven, New York",1893,1975.0
University of California,PhD,1918,J. H. McDonald,Mary Helen Sagal (Sznyter),"June 21, 1893","March 24, 1975","Woodhaven, New York",1893,1975.0
Miami University,BA,1930,,Marjorie Leffler Alden,"August 29, 1909","October 5, 2000","Kyle, Ohio",1909,2000.0
Ohio State University,MA,1932,Tibor Radó,Marjorie Leffler Alden,"August 29, 1909","October 5, 2000","Kyle, Ohio",1909,2000.0
Ohio State University,PhD,1934,Tibor Radó,Marjorie Leffler Alden,"August 29, 1909","October 5, 2000","Kyle, Ohio",1909,2000.0
Hunter College,BA,1916,,Elizabeth E. Mary Karl,"November 16, 1893","August 30, 1984",New York City,1893,1984.0
Johns Hopkins University,MA,1927,,Elizabeth E. Mary Karl,"November 16, 1893","August 30, 1984",New York City,1893,1984.0
Johns Hopkins University,PhD,1931,Oscar Zariski,Elizabeth E. Mary Karl,"November 16, 1893","August 30, 1984",New York City,1893,1984.0
Knox College,BA,1920,,Marie Mathilda Yeaton,"March 1, 1898","March 19, 1978","Galesburg, Illinois",1898,1978.0
University of Iowa,MS,1921,H. L. Rietz and E. W. Chittenden,Marie Mathilda Yeaton,"March 1, 1898","March 19, 1978","Galesburg, Illinois",1898,1978.0
University of Chicago,PhD,1928,Gilbert Ames Bliss,Marie Mathilda Yeaton,"March 1, 1898","March 19, 1978","Galesburg, Illinois",1898,1978.0
Wellesley College,BA,1921,,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
"Teachers College, Columbia University",MA,1924,David Eugene Smith,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
Radcliffe College,PhD,1932,Joseph Leonard Walsh,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
University of Michigan,PhB,1890,,Ruth Ellen Gentry,"February 22, 1862","October 18, 1917","Stilesville, Indiana",1862,1917.0
Bryn Mawr College,PhD,1894,Charlotte Angas Scott,Ruth Ellen Gentry,"February 22, 1862","October 18, 1917","Stilesville, Indiana",1862,1917.0
Goucher College,BA,1917,,Florence Marie Mears,"May 18, 1896","December 3, 1995","Baltimore, Maryland",1896,1995.0
Cornell University,MA,1924,Walter Buckingham Carver,Florence Marie Mears,"May 18, 1896","December 3, 1995","Baltimore, Maryland",1896,1995.0
Cornell University,PhD,1927,Wallie Abraham Hurwitz,Florence Marie Mears,"May 18, 1896","December 3, 1995","Baltimore, Maryland",1896,1995.0
Trinity College,BS,1910,,Sister Marie Cecilia Mangold,"December 5, 1872","February 9, 1934","Cincinnati, Ohio",1872,1934.0
Trinity College,MS,1914,,Sister Marie Cecilia Mangold,"December 5, 1872","February 9, 1934","Cincinnati, Ohio",1872,1934.0
Catholic University of America,PhD,1929,Aubrey Edward Landry,Sister Marie Cecilia Mangold,"December 5, 1872","February 9, 1934","Cincinnati, Ohio",1872,1934.0
Hedding College,PhB,1886,,Clara Latimer Bacon,"August 13, 1866","April 14, 1948","Hillsgrove, Illinois",1866,1948.0
Wellesley College,BA,1890,Ellen Hayes,Clara Latimer Bacon,"August 13, 1866","April 14, 1948","Hillsgrove, Illinois",1866,1948.0
University of Chicago,MA,1904,,Clara Latimer Bacon,"August 13, 1866","April 14, 1948","Hillsgrove, Illinois",1866,1948.0
Johns Hopkins University,PhD,1911,Frank Morley,Clara Latimer Bacon,"August 13, 1866","April 14, 1948","Hillsgrove, Illinois",1866,1948.0
University of Minnesota,BA,1917,None specified,Sally Elizabeth Carlson,"October 2, 1896","November 1, 2000","Minneapolis, Minnesota",1896,2000.0
University of Minnesota,MA,1918,None specified,Sally Elizabeth Carlson,"October 2, 1896","November 1, 2000","Minneapolis, Minnesota",1896,2000.0
University of Minnesota,PhD,1924,Dunham Jackson,Sally Elizabeth Carlson,"October 2, 1896","November 1, 2000","Minneapolis, Minnesota",1896,2000.0
New York University,BS,1931,,Jeanette Delevie (Fox),"January 13, 1912","July 29, 1997","New York, New York",1912,1997.0
Yale University,PhD,1935,Oystein Ore,Jeanette Delevie (Fox),"January 13, 1912","July 29, 1997","New York, New York",1912,1997.0
Smith College,BA,1894,,Elizabeth Street Dickerman,"November 13, 1872","April 24, 1965","West Haven, Connecticut",1872,1965.0
Yale University,PhD,1896,,Elizabeth Street Dickerman,"November 13, 1872","April 24, 1965","West Haven, Connecticut",1872,1965.0
"University of California, Berkeley",BA,1917,,Elsie Jeannette McFarland Buck,"June 3, 1897","January 11, 1984","St. Louis, Missouri",1897,1984.0
"University of California, Berkeley",MA,1918,John Hector McDonald,Elsie Jeannette McFarland Buck,"June 3, 1897","January 11, 1984","St. Louis, Missouri",1897,1984.0
"University of California, Berkeley",PhD,1920,John Hector McDonald,Elsie Jeannette McFarland Buck,"June 3, 1897","January 11, 1984","St. Louis, Missouri",1897,1984.0
Wellesley College,BA,1916,,Rachel Adams (Blodgett),"October 13, 1894","January 22, 1982","Woburn, Massachusetts",1894,1982.0
Radcliffe College,MA,1919,,Rachel Adams (Blodgett),"October 13, 1894","January 22, 1982","Woburn, Massachusetts",1894,1982.0
Radcliffe College,PhD,1921,,Rachel Adams (Blodgett),"October 13, 1894","January 22, 1982","Woburn, Massachusetts",1894,1982.0
Reed College,BA,1933,,Cleota Gage Fry,"December 30, 1910","July 1, 2001","Shoshone, Idaho",1910,2001.0
Purdue University,MS,1936,Dr. Nordheim,Cleota Gage Fry,"December 30, 1910","July 1, 2001","Shoshone, Idaho",1910,2001.0
Purdue University,PhD,1939,H. K. Hughes,Cleota Gage Fry,"December 30, 1910","July 1, 2001","Shoshone, Idaho",1910,2001.0
Smith College,BA,1908,,Ida Barney,"November 6, 1886","March 7, 1982","New Haven, Connecticut",1886,1982.0
Yale University,PhD,1911,James Pierpont,Ida Barney,"November 6, 1886","March 7, 1982","New Haven, Connecticut",1886,1982.0
Catholic University of America,BA,1920,,Sister Mary de Lellis,"February 15, 1892","April 7, 1983","Kilmore, County Wexford, Ireland",1892,1983.0
Catholic University of America,MA,1923,,Sister Mary de Lellis,"February 15, 1892","April 7, 1983","Kilmore, County Wexford, Ireland",1892,1983.0
Catholic University of America,PhD,1931,Aubrey E. Landry,Sister Mary de Lellis,"February 15, 1892","April 7, 1983","Kilmore, County Wexford, Ireland",1892,1983.0
College of Saint Teresa,BA,1920,,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
University of Michigan,MA,1926,,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
University of Michigan,PhD,1936,Louis C. Karpinski,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
Mount Holyoke College,BA,1902,,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
Yale University,PhD,1904,James Pelham Pierpont,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
Vassar College,BA,1924,,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
Radcliffe College,MA,1929,,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
Radcliffe College,PhD,1934,Marston Morse,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
Dominican College of San Rafael,BA,1927,Anna Marie Whelan,Joanna Isabel Mayer,"March 6, 1904","February 28, 1991","Pettis County, near Sedalia, Missouri",1904,1991.0
Marquette University,MA,1928,Harvey Pierson Pettit,Joanna Isabel Mayer,"March 6, 1904","February 28, 1991","Pettis County, near Sedalia, Missouri",1904,1991.0
Marquette University,PhD,1931,Harvey Pierson Pettit,Joanna Isabel Mayer,"March 6, 1904","February 28, 1991","Pettis County, near Sedalia, Missouri",1904,1991.0
Goucher College,BA,1924,,Mildred Caroline Somerset Waters Dean,"February 17, 1904","September 11, 1981","Baltimore, Maryland",1904,1981.0
Johns Hopkins University,MA,1927,Frank Morley,Mildred Caroline Somerset Waters Dean,"February 17, 1904","September 11, 1981","Baltimore, Maryland",1904,1981.0
Johns Hopkins University,PhD,1929,Frank Morley,Mildred Caroline Somerset Waters Dean,"February 17, 1904","September 11, 1981","Baltimore, Maryland",1904,1981.0
West Virginia University,BA,1915,,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
West Virginia University,MA,1917,,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
Bryn Mawr College,PhD,1920,Charlotte Angas Scott,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
Columbian University,BA,1899,,Alice Madeleine Dimick,"December 6, 1878","July 13, 1956","Washington, D.C.",1878,1956.0
University of Pennsylvania,MA,1900,,Alice Madeleine Dimick,"December 6, 1878","July 13, 1956","Washington, D.C.",1878,1956.0
University of Pennsylvania,PhD,1905,,Alice Madeleine Dimick,"December 6, 1878","July 13, 1956","Washington, D.C.",1878,1956.0
University of Arkansas,BA,1915,,Jewell Constance Hughes Bushey,"March 13, 1896","May 5, 1989","Fayetteville, Arkansas",1896,1989.0
University of Missouri,MA,1916,,Jewell Constance Hughes Bushey,"March 13, 1896","May 5, 1989","Fayetteville, Arkansas",1896,1989.0
University of Chicago,PhD,1924,Gilbert Ames Bliss,Jewell Constance Hughes Bushey,"March 13, 1896","May 5, 1989","Fayetteville, Arkansas",1896,1989.0
University of Missouri,BA,1908,,Eula Adeline Weeks King,"September 13, 1882","June 30, 1967","near Louisville, Georgia",1882,1967.0
University of Missouri,BS,1908,,Eula Adeline Weeks King,"September 13, 1882","June 30, 1967","near Louisville, Georgia",1882,1967.0
University of Missouri,MA,1909,,Eula Adeline Weeks King,"September 13, 1882","June 30, 1967","near Louisville, Georgia",1882,1967.0
University of Missouri,PhD,1915,Earle Raymond Hedrick,Eula Adeline Weeks King,"September 13, 1882","June 30, 1967","near Louisville, Georgia",1882,1967.0
Bryn Mawr College,BA,1915,,Marguerite Daisy Darkow,"November 12, 1893","December 9, 1992","Philadelphia, United States",1893,1992.0
University of Chicago,MA,1923,,Marguerite Daisy Darkow,"November 12, 1893","December 9, 1992","Philadelphia, United States",1893,1992.0
University of Chicago,PhD,1924,Leonard Eugene Dickson,Marguerite Daisy Darkow,"November 12, 1893","December 9, 1992","Philadelphia, United States",1893,1992.0
Georgia State College for Women,BS,1926,,Sara Louise Nelson,"January 17, 1903","March 6, 1995","Oglethorpe, Georgia",1903,1995.0
Cornell University,MS,1930,Virgil Snyder,Sara Louise Nelson,"January 17, 1903","March 6, 1995","Oglethorpe, Georgia",1903,1995.0
Cornell University,PhD,1939,"Virgil Snyder, Robert J. Walker",Sara Louise Nelson,"January 17, 1903","March 6, 1995","Oglethorpe, Georgia",1903,1995.0
Georgetown College,BA,1909,,Flora Elizabeth LeStourgeon,"June 1, 1880","February 6, 1971","Farmville, Virginia",1880,1971.0
University of Chicago,MA,1913,Arthur Constant Lunn,Flora Elizabeth LeStourgeon,"June 1, 1880","February 6, 1971","Farmville, Virginia",1880,1971.0
University of Chicago,PhD,1917,Gilbert Ames Bliss,Flora Elizabeth LeStourgeon,"June 1, 1880","February 6, 1971","Farmville, Virginia",1880,1971.0
Duke University,BA,1928,Unknown,Mabel Jeanette Griffin Reavis,"August 28, 1907","November 19, 1999","Durham, North Carolina",1907,1999.0
Duke University,MA,1930,Unknown,Mabel Jeanette Griffin Reavis,"August 28, 1907","November 19, 1999","Durham, North Carolina",1907,1999.0
Duke University,PhD,1933,Joseph Miller Thomas,Mabel Jeanette Griffin Reavis,"August 28, 1907","November 19, 1999","Durham, North Carolina",1907,1999.0
Wells College,BA,1908,,Anna Mayme Howe,"October 24, 1883","August 8, 1976","Jordan, New York",1883,1976.0
Cornell University,MA,1911,Joseph Vance McKelvey,Anna Mayme Howe,"October 24, 1883","August 8, 1976","Jordan, New York",1883,1976.0
Cornell University,PhD,1917,Virgil Snyder,Anna Mayme Howe,"October 24, 1883","August 8, 1976","Jordan, New York",1883,1976.0
Shorter Female College,BA,1896,,Ruby Usher Hightower,"June 17, 1880","May 5, 1959","near Covington, Georgia",1880,1959.0
University of Georgia,MA,1919,,Ruby Usher Hightower,"June 17, 1880","May 5, 1959","near Covington, Georgia",1880,1959.0
University of Missouri,PhD,1927,Gustav Eric Wahlin,Ruby Usher Hightower,"June 17, 1880","May 5, 1959","near Covington, Georgia",1880,1959.0
University of Maine,BS,1904,,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
Wellesley College,MA,1911,,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
University of Pennsylvania,PhD,1913,Oliver E. Glenn,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
University of Chicago,BS,1911,,Myrtie Collier,"September 14, 1877","June 25, 1974","Carthage, Missouri",1877,1974.0
Université de Strasbourg,PhD,1930,,Myrtie Collier,"September 14, 1877","June 25, 1974","Carthage, Missouri",1877,1974.0
Hunter College,BA,1922,,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Bryn Mawr College,MA,1924,,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Bryn Mawr College,PhD,1927,Anna Pell Wheeler,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Brown University (Women’s College),BA,1916,,Marian Marsh Torrey,"December 9, 1893","September 16, 1971","Malden, Massachusetts",1893,1971.0
Brown University,MA,1917,,Marian Marsh Torrey,"December 9, 1893","September 16, 1971","Malden, Massachusetts",1893,1971.0
Cornell University,PhD,1924,Virgil Snyder,Marian Marsh Torrey,"December 9, 1893","September 16, 1971","Malden, Massachusetts",1893,1971.0
Wells College,BA,1926,,Ethel Isabel Moody,"February 9, 1905","April 11, 1941","Rushville, New York",1905,1941.0
Cornell University,MA,1927,Virgil Snyder,Ethel Isabel Moody,"February 9, 1905","April 11, 1941","Rushville, New York",1905,1941.0
Cornell University,PhD,1930,Virgil Snyder,Ethel Isabel Moody,"February 9, 1905","April 11, 1941","Rushville, New York",1905,1941.0
University of Illinois,BA,1909,,Josephine Elizabeth Burns Glasgow,"July 22, 1887","January 22, 1969","Greenville, Illinois",1887,1969.0
University of Illinois,MA,1911,G. A. Miller,Josephine Elizabeth Burns Glasgow,"July 22, 1887","January 22, 1969","Greenville, Illinois",1887,1969.0
University of Illinois,PhD,1913,G. A. Miller,Josephine Elizabeth Burns Glasgow,"July 22, 1887","January 22, 1969","Greenville, Illinois",1887,1969.0
McPherson College,BA,1914,,Jessie Marie Offermann (Jacobs),"October 1, 1890","July 7, 1954","Wilmington, Delaware",1890,1954.0
University of Kansas,MA,1916,Charles Hamilton Ashton,Jessie Marie Offermann (Jacobs),"October 1, 1890","July 7, 1954","Wilmington, Delaware",1890,1954.0
University of Illinois,PhD,1919,Arthur Byron Coble,Jessie Marie Offermann (Jacobs),"October 1, 1890","July 7, 1954","Wilmington, Delaware",1890,1954.0
University of Mount Allison College,BA,1899,,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
Cornell University,MA,1900,,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
Cornell University,PhD,1924,Clyde Firman Craig and John Irwin Hutchinson,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
Concordia College,BA,1920,,Mae Ruth Anderson,"May 31, 1899","March 28, 1948","near Westby, Wisconsin",1899,1948.0
University of Chicago,MA,1923,,Mae Ruth Anderson,"May 31, 1899","March 28, 1948","near Westby, Wisconsin",1899,1948.0
University of Chicago,PhD,1936,Leonard Eugene Dickson,Mae Ruth Anderson,"May 31, 1899","March 28, 1948","near Westby, Wisconsin",1899,1948.0
University of Wisconsin,BA,1931,,Louise Adelaide Wolf,"October 20, 1898","November 14, 1962","Milwaukee, Wisconsin",1898,1962.0
University of Wisconsin,MA,1933,,Louise Adelaide Wolf,"October 20, 1898","November 14, 1962","Milwaukee, Wisconsin",1898,1962.0
University of Wisconsin,PhD,1935,Mark Hoyt Ingraham,Louise Adelaide Wolf,"October 20, 1898","November 14, 1962","Milwaukee, Wisconsin",1898,1962.0
Vassar College,BA,1922,,Frances Thorndike Cope,"August 19, 1902","May 14, 1982","New York City, New York, USA",1902,1982.0
Columbia University,MA,1925,,Frances Thorndike Cope,"August 19, 1902","May 14, 1982","New York City, New York, USA",1902,1982.0
Radcliffe College,PhD,1932,George David Birkhoff,Frances Thorndike Cope,"August 19, 1902","May 14, 1982","New York City, New York, USA",1902,1982.0
Colorado College,BA,1909,,Emma Kirtland McDonald,"August 3, 1886","July 7, 1948","Brooklyn, New York",1886,1948.0
University of California,MA,1916,John Hector McDonald,Emma Kirtland McDonald,"August 3, 1886","July 7, 1948","Brooklyn, New York",1886,1948.0
University of California,PhD,1932,Derrick Norman Lehmer,Emma Kirtland McDonald,"August 3, 1886","July 7, 1948","Brooklyn, New York",1886,1948.0
Goucher College,BA,1912,,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
Johns Hopkins University,PhD,1921,Frank Morley,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
New York University,BA,1928,,Helen Mary Infeld,"July 20, 1907","July 6, 1993","The Bronx, New York City",1907,1993.0
Cornell University,MA,1929,Walter Buckingham Carver,Helen Mary Infeld,"July 20, 1907","July 6, 1993","The Bronx, New York City",1907,1993.0
Cornell University,PhD,1933,Virgil Snyder,Helen Mary Infeld,"July 20, 1907","July 6, 1993","The Bronx, New York City",1907,1993.0
