visit_location,visit_reason,visit_year,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Greece,Travel,,Elizabeth Audrey Wishard McMillan,"July 7, 1914","January 10, 2008","Jubbulpore, India",1914,2008.0
France,Travel,,Elizabeth Audrey Wishard McMillan,"July 7, 1914","January 10, 2008","Jubbulpore, India",1914,2008.0
Britain,Travel,,Elizabeth Audrey Wishard McMillan,"July 7, 1914","January 10, 2008","Jubbulpore, India",1914,2008.0
Alaska,Travel,,Elizabeth Audrey Wishard McMillan,"July 7, 1914","January 10, 2008","Jubbulpore, India",1914,2008.0
"Boulder, Colorado",Conference on collegiate mathematics,1953,May Margaret Beenken,"October 22, 1901","December 21, 1988","Philadelphia, Pennsylvania",1901,1988.0
University of Oregon,NSF grant work,1954,May Margaret Beenken,"October 22, 1901","December 21, 1988","Philadelphia, Pennsylvania",1901,1988.0
Stanford,Social Science Research Council grant work,1957,May Margaret Beenken,"October 22, 1901","December 21, 1988","Philadelphia, Pennsylvania",1901,1988.0
UCLA,NSF grant work,1959,May Margaret Beenken,"October 22, 1901","December 21, 1988","Philadelphia, Pennsylvania",1901,1988.0
"Canadian Rockies, Glacier National Park, Lake Louise, Banff, Jasper National Park",Travel,1958,Helen Barton,"August 9, 1891","March 19, 1971","Baltimore, Maryland",1891,1971.0
Cornell University,Study,1934,Harriet Frances Montague,"June 9, 1905","March 19, 1997","Buffalo, New York",1905,1997.0
Columbia University,Certificates in Mathematics and English,1922,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
University of Virginia,Certificates in Mathematics and English,1922,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
University of Chicago,Certificates in Mathematics and English,1922,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
University of Wisconsin,Summer School,1926,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
University of Wisconsin,Summer School,1927,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
University of Wisconsin,Summer School,1928,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
Brown University,Summer session for advanced instruction and research in mechanics,1941,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
American University in Beirut,Visiting Professorship,1956,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
"St. Augustine, Florida",Solar Eclipse Expedition,1940,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
"Carmel, California",Summer residence,,Euphemia Richardson Worthington,"December 22, 1881","August 30, 1969","Troy, New York",1881,1969.0
"Victoria, British Columbia",Winter residence,,Euphemia Richardson Worthington,"December 22, 1881","August 30, 1969","Troy, New York",1881,1969.0
"Baltimore, MD",Presented to the MAA,1923,Anna Marie Whelan,"September 6, 1895","June 14, 1966","Baltimore, Maryland",1895,1966.0
University of Chicago,Graduate studies in mathematics and physics,1907,Bessie Irving Miller,"November 4, 1884","February 4, 1931","Baltimore, Maryland",1884,1931.0
University of Chicago,Summer studies,1920,Bessie Irving Miller,"November 4, 1884","February 4, 1931","Baltimore, Maryland",1884,1931.0
Johns Hopkins University,Attended lectures,1915,Mary Gertrude Haseman,"March 6, 1889","April 9, 1979","Linton, Indiana",1889,1979.0
University of Chicago,Studied during summers,1920,Mary Gertrude Haseman,"March 6, 1889","April 9, 1979","Linton, Indiana",1889,1979.0
Turkey,Teaching at American College for Girls,1934,Henrietta Pearl Terry Nee,"December 30, 1904","June 5, 1981","Virden, Illinois",1904,1981.0
Argentina,Lived there for a year,1955,Henrietta Pearl Terry Nee,"December 30, 1904","June 5, 1981","Virden, Illinois",1904,1981.0
University of Chicago,Summer Studies,1928,Carolyn Grace Shover Quinn,"December 20, 1906","February 4, 1998","Grove City, Ohio",1906,1998.0
Bryn Mawr College,Study with Emmy Noether,1934,Carolyn Grace Shover Quinn,"December 20, 1906","February 4, 1998","Grove City, Ohio",1906,1998.0
"International Mathematical Congress, Oslo",Attend Congress,1936,Carolyn Grace Shover Quinn,"December 20, 1906","February 4, 1998","Grove City, Ohio",1906,1998.0
Göttingen,Attend Lectures by Helmut Hasse,1936,Carolyn Grace Shover Quinn,"December 20, 1906","February 4, 1998","Grove City, Ohio",1906,1998.0
"Columbus, OH",Presented PhD dissertation by title to the AMS,1939,Harriet Madeline Griffin,"April 6, 1903","January 13, 1991","Brooklyn, New York",1903,1991.0
"Rome, Italy",AAUW European fellow and M. Carey Thomas European fellow,1923,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
"Institut Poincaré, Paris",Sabbatical,1950,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
Europe,Travel,1928,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
Europe,Travel,1932,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
Europe,Travel,1938,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
Europe,Travel,1950,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
"Cincinnati, OH",Presented a paper to a meeting of the AMS,1933,Marjorie Leffler Alden,"August 29, 1909","October 5, 2000","Kyle, Ohio",1909,2000.0
Fordham University,Study,1923,Elizabeth E. Mary Karl,"November 16, 1893","August 30, 1984",New York City,1893,1984.0
Institute for Advanced Study in Princeton,Leave of absence,1937,Marie Mathilda Yeaton,"March 1, 1898","March 19, 1978","Galesburg, Illinois",1898,1978.0
Europe,Travel,1925,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
Europe,Travel,1927,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
Western United States,Travel,1937,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
Western United States,Travel,1939,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
University of California,Sabbatical,1942,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
Harvard University,Sabbatical,1949,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
Harvard University,Sabbatical,1956,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
Harvard University,Research Fellow,1963,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
Orient,Travel,1963,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
"Berlin, Germany",Study,1891,Ruth Ellen Gentry,"February 22, 1862","October 18, 1917","Stilesville, Indiana",1862,1917.0
"Leipzig, Germany",Study,1891,Ruth Ellen Gentry,"February 22, 1862","October 18, 1917","Stilesville, Indiana",1862,1917.0
"Sorbonne, France",Study,1892,Ruth Ellen Gentry,"February 22, 1862","October 18, 1917","Stilesville, Indiana",1862,1917.0
United States and Europe,Travel,1911,Ruth Ellen Gentry,"February 22, 1862","October 18, 1917","Stilesville, Indiana",1862,1917.0
Johns Hopkins University,Studied invariants and covariants,1922,Florence Marie Mears,"May 18, 1896","December 3, 1995","Baltimore, Maryland",1896,1995.0
Cornell University,Graduate studies in education and mathematics,1923,Florence Marie Mears,"May 18, 1896","December 3, 1995","Baltimore, Maryland",1896,1995.0
"University of Allahabad, India",Member of the Examining Committee for doctoral dissertations,1962,Florence Marie Mears,"May 18, 1896","December 3, 1995","Baltimore, Maryland",1896,1995.0
"Washington, D.C.",Teaching and studying at Trinity College,1901,Sister Marie Cecilia Mangold,"December 5, 1872","February 9, 1934","Cincinnati, Ohio",1872,1934.0
"England, Italy, Egypt, and Palestine",Travel,Post-retirement (after 1934),Clara Latimer Bacon,"August 13, 1866","April 14, 1948","Hillsgrove, Illinois",1866,1948.0
Hunter College,Summer session exchange,1930,Sally Elizabeth Carlson,"October 2, 1896","November 1, 2000","Minneapolis, Minnesota",1896,2000.0
University of Munich,Study,1929,Jeanette Delevie (Fox),"January 13, 1912","July 29, 1997","New York, New York",1912,1997.0
University of Berlin,Study,1931,Jeanette Delevie (Fox),"January 13, 1912","July 29, 1997","New York, New York",1912,1997.0
Europe,Travel,1897,Elizabeth Street Dickerman,"November 13, 1872","April 24, 1965","West Haven, Connecticut",1872,1965.0
Europe,Travel,1902,Elizabeth Street Dickerman,"November 13, 1872","April 24, 1965","West Haven, Connecticut",1872,1965.0
Bermuda,Travel,1921,Elizabeth Street Dickerman,"November 13, 1872","April 24, 1965","West Haven, Connecticut",1872,1965.0
France,Travel,1938,Elizabeth Street Dickerman,"November 13, 1872","April 24, 1965","West Haven, Connecticut",1872,1965.0
University of Chicago,Visiting PhD,1931,Elsie Jeannette McFarland Buck,"June 3, 1897","January 11, 1984","St. Louis, Missouri",1897,1984.0
Rome and Göttingen,"Accompanying husband, C. R. Adams, on Sheldon traveling fellowship",1922,Rachel Adams (Blodgett),"October 13, 1894","January 22, 1982","Woburn, Massachusetts",1894,1982.0
Chicago,World’s Fair,1933,Cleota Gage Fry,"December 30, 1910","July 1, 2001","Shoshone, Idaho",1910,2001.0
Various locations,Trip around the world,,Cleota Gage Fry,"December 30, 1910","July 1, 2001","Shoshone, Idaho",1910,2001.0
"Galveston, Texas",Arrival from Ireland as a novice,1909,Sister Mary de Lellis,"February 15, 1892","April 7, 1983","Kilmore, County Wexford, Ireland",1892,1983.0
University of Oklahoma,Graduate student,1921,Sister Mary de Lellis,"February 15, 1892","April 7, 1983","Kilmore, County Wexford, Ireland",1892,1983.0
University of Texas,Summer study,1927,Sister Mary de Lellis,"February 15, 1892","April 7, 1983","Kilmore, County Wexford, Ireland",1892,1983.0
University of Michigan,Graduate work,1922,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
University of Michigan,Graduate work,1928,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
University of Michigan,Graduate work,1929,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
University of Michigan,Graduate work,1930,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
University of Michigan,Graduate work,1931,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
University of Michigan,Graduate work,1934,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
University of Michigan,Graduate work,1935,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
Florida Agricultural and Mechanical University,Consultant,1965,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
Germany,Attended the German mathematical society meeting,1911,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
University of Göttingen,Study,1911,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
Goucher College,Exchange professor,1918,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
Around the world,Travel,1926,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
"Near East including Egypt, Palestine, Syria, Uganda, Turkey, Greece, and Italy",Travel,1935,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
"State College, Pennsylvania",AMS meeting,1937,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
Oslo,International Congress of Mathematicians,1936,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
"Cambridge, Massachusetts",International Congress of Mathematicians,1950,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
Edinburgh,International Congress of Mathematicians,1958,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
Stockholm,International Congress of Mathematicians,1962,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
Nice,International Congress of Mathematicians,1970,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
"Vancouver, British Columbia",International Congress of Mathematicians,1974,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
Helsinki,International Congress of Mathematicians,1978,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
Berkeley,International Congress of Mathematicians,1986,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
People's Republic of China,Bilateral technical exchange with Chinese professional counterparts,1983,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
"Washington, D.C.",Served during World War II,Not specified,Joanna Isabel Mayer,"March 6, 1904","February 28, 1991","Pettis County, near Sedalia, Missouri",1904,1991.0
Baltimore,Discussions with Frank Morley,,Mildred Caroline Somerset Waters Dean,"February 17, 1904","September 11, 1981","Baltimore, Maryland",1904,1981.0
West Virginia University,Summer Courses,1900,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
Harvard University,Summer Courses,1907,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
Bethany College,Spring and Summer Courses,1909,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
West Virginia University,Summer Courses,1910,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
West Virginia University,Summer Courses,1912,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
West Virginia University,Summer Courses,1913,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
West Virginia University,Summer Courses,1914,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
Europe,Travel,1907,Alice Madeleine Dimick,"December 6, 1878","July 13, 1956","Washington, D.C.",1878,1956.0
Hawaii,Vacation,1939,Alice Madeleine Dimick,"December 6, 1878","July 13, 1956","Washington, D.C.",1878,1956.0
University of California,Further study,1925,Jewell Constance Hughes Bushey,"March 13, 1896","May 5, 1989","Fayetteville, Arkansas",1896,1989.0
University of Chicago,Further study,1927,Jewell Constance Hughes Bushey,"March 13, 1896","May 5, 1989","Fayetteville, Arkansas",1896,1989.0
Europe,Travel,1928,Jewell Constance Hughes Bushey,"March 13, 1896","May 5, 1989","Fayetteville, Arkansas",1896,1989.0
Columbia University,Postdoctoral study,1934,Jewell Constance Hughes Bushey,"March 13, 1896","May 5, 1989","Fayetteville, Arkansas",1896,1989.0
University of Chicago,Postdoctoral study,1938,Jewell Constance Hughes Bushey,"March 13, 1896","May 5, 1989","Fayetteville, Arkansas",1896,1989.0
"Inglewood, California",Visit to son's home,1967,Eula Adeline Weeks King,"September 13, 1882","June 30, 1967","near Louisville, Georgia",1882,1967.0
"Sorbonne, Paris",Study,1924,Marguerite Daisy Darkow,"November 12, 1893","December 9, 1992","Philadelphia, United States",1893,1992.0
Freiberg,Visit Edmund Husserl,1924,Marguerite Daisy Darkow,"November 12, 1893","December 9, 1992","Philadelphia, United States",1893,1992.0
Egypt,Travel,1979,Marguerite Daisy Darkow,"November 12, 1893","December 9, 1992","Philadelphia, United States",1893,1992.0
Cornell University,Summer session,1929,Sara Louise Nelson,"January 17, 1903","March 6, 1995","Oglethorpe, Georgia",1903,1995.0
Cornell University,Summer session,1933,Sara Louise Nelson,"January 17, 1903","March 6, 1995","Oglethorpe, Georgia",1903,1995.0
Cornell University,Full-time study,1937,Sara Louise Nelson,"January 17, 1903","March 6, 1995","Oglethorpe, Georgia",1903,1995.0
NSF Summer Workshop,Training of teachers,1963,Sara Louise Nelson,"January 17, 1903","March 6, 1995","Oglethorpe, Georgia",1903,1995.0
University of Virginia,Summer Study Program,1907,Flora Elizabeth LeStourgeon,"June 1, 1880","February 6, 1971","Farmville, Virginia",1880,1971.0
Europe,Travel,1928,Flora Elizabeth LeStourgeon,"June 1, 1880","February 6, 1971","Farmville, Virginia",1880,1971.0
Mexico,Vacation,1941,Flora Elizabeth LeStourgeon,"June 1, 1880","February 6, 1971","Farmville, Virginia",1880,1971.0
"Atlantic City, NJ",Presented PhD dissertation by title to the AMS,1932,Mabel Jeanette Griffin Reavis,"August 28, 1907","November 19, 1999","Durham, North Carolina",1907,1999.0
Toronto,Attended the International Mathematical Congress,1924,Anna Mayme Howe,"October 24, 1883","August 8, 1976","Jordan, New York",1883,1976.0
University of Chicago,Study,1899,Ruby Usher Hightower,"June 17, 1880","May 5, 1959","near Covington, Georgia",1880,1959.0
University of London,Study,1913,Ruby Usher Hightower,"June 17, 1880","May 5, 1959","near Covington, Georgia",1880,1959.0
University of Missouri,Study,1924,Ruby Usher Hightower,"June 17, 1880","May 5, 1959","near Covington, Georgia",1880,1959.0
Europe,Travel,1930,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
Alaska,Travel,1931,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
Labrador,Travel,1934,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
"Egypt, Central Africa, and the Near East",Travel,1935,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
Scandinavia,Travel,1936,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
Mexico,Travel,1937,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
Puerto Rico,Travel,1939,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
Europe,Travel,1937,Myrtie Collier,"September 14, 1877","June 25, 1974","Carthage, Missouri",1877,1974.0
University of Chicago,Associate in the Mathematics Department,1920,Myrtie Collier,"September 14, 1877","June 25, 1974","Carthage, Missouri",1877,1974.0
Zurich,International Congress of Mathematicians,1932,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
"Cambridge, USA",International Congress of Mathematicians,1950,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Amsterdam,International Congress of Mathematicians,1954,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Edinburgh,International Congress of Mathematicians,1958,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Stockholm,International Congress of Mathematicians,1962,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Moscow,International Congress of Mathematicians,1966,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Nice,International Congress of Mathematicians,1970,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Caen,Congress of the French Association for the Advancement of Science,1955,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Prague,Symposium on topology and its relation to modern analysis and algebra,1961,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
"Canton, People’s Republic of China",Study tour,1976,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Columbia University,Sabbatical study,1931,Marian Marsh Torrey,"December 9, 1893","September 16, 1971","Malden, Massachusetts",1893,1971.0
"Madison, WI",Presented by title to the AMS,1913,Josephine Elizabeth Burns Glasgow,"July 22, 1887","January 22, 1969","Greenville, Illinois",1887,1969.0
"Decatur, IL",Presented to a meeting of the MAA,1926,Josephine Elizabeth Burns Glasgow,"July 22, 1887","January 22, 1969","Greenville, Illinois",1887,1969.0
Berlin,Joined husband during Guggenheim fellowship,1933,Jessie Marie Offermann (Jacobs),"October 1, 1890","July 7, 1954","Wilmington, Delaware",1890,1954.0
Leningrad,Husband's work as senior geneticist,1933,Jessie Marie Offermann (Jacobs),"October 1, 1890","July 7, 1954","Wilmington, Delaware",1890,1954.0
University of Chicago,Study,1912,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
Columbia University,Study,1915,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
University of Chicago,Study,1919,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
Cornell University,Study,1922,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
University of Chicago,Study,1929,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
"International Congress of Mathematicians, Toronto",Attend Congress,1924,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
"International Congress of Mathematicians, Bologna",Attend Congress,1928,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
"International Congress of Mathematicians, Oslo",Attend Congress,1936,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
University of Chicago,Graduate work,1929,Mae Ruth Anderson,"May 31, 1899","March 28, 1948","near Westby, Wisconsin",1899,1948.0
University of Chicago,Graduate work,1932,Mae Ruth Anderson,"May 31, 1899","March 28, 1948","near Westby, Wisconsin",1899,1948.0
University of Chicago,Graduate work,1934,Mae Ruth Anderson,"May 31, 1899","March 28, 1948","near Westby, Wisconsin",1899,1948.0
University of Chicago,Graduate work,1935,Mae Ruth Anderson,"May 31, 1899","March 28, 1948","near Westby, Wisconsin",1899,1948.0
University of Chicago,Doctoral work,1935,Mae Ruth Anderson,"May 31, 1899","March 28, 1948","near Westby, Wisconsin",1899,1948.0
University of Chicago,Doctoral work,1936,Mae Ruth Anderson,"May 31, 1899","March 28, 1948","near Westby, Wisconsin",1899,1948.0
"Milwaukee, Fond du Lac, Sheboygan, and Manitowoc",Circuit teaching,1935,Louise Adelaide Wolf,"October 20, 1898","November 14, 1962","Milwaukee, Wisconsin",1898,1962.0
University of Wisconsin in Madison,Lecturer,1940,Louise Adelaide Wolf,"October 20, 1898","November 14, 1962","Milwaukee, Wisconsin",1898,1962.0
Radcliffe College,Vassar alumnae fellow,1928,Frances Thorndike Cope,"August 19, 1902","May 14, 1982","New York City, New York, USA",1902,1982.0
"Seattle, WA",Presented at AMS,1931,Emma Kirtland McDonald,"August 3, 1886","July 7, 1948","Brooklyn, New York",1886,1948.0
"Tavoy, Burma",Chapel dedication in memory of missionary brother's wife,1959,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
Copenhagen,Travel,1959,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
Rome,Travel,1959,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
Istanbul,Travel,1959,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
Taj Mahal,Travel,1959,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
Rangoon,Travel,1959,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
Thailand,Travel,1959,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
Singapore,Travel,1959,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
Hong Kong,Travel,1959,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
Japan,Travel,1959,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
"Warsaw, Poland",Lecturing at University of Warsaw,1950,Helen Mary Infeld,"July 20, 1907","July 6, 1993","The Bronx, New York City",1907,1993.0
"Dallas, Texas, USA",Visiting Professor at Southwest Center for Advanced Studies,1965,Helen Mary Infeld,"July 20, 1907","July 6, 1993","The Bronx, New York City",1907,1993.0
University of California,Study with G. D. Birkhoff and L. E. Dickson,1922,Echo Delores Pepper,"June 3, 1897","January 5, 1979","Spokane, Washington, USA",1897,1979.0
Oxford University,Study with G. H. Hardy and A. S. Besicovitch,1925,Echo Delores Pepper,"June 3, 1897","January 5, 1979","Spokane, Washington, USA",1897,1979.0
Seattle,Family visit and climate,1945,Echo Delores Pepper,"June 3, 1897","January 5, 1979","Spokane, Washington, USA",1897,1979.0
Italy,Travel with brother,1914,Leona May Peirce,"August 4, 1863","September 27, 1954","Norway, Maine",1863,1954.0
University of Chicago,Summer study,1928,Mary Margaret Taylor Speer,"March 27, 1906","November 23, 1966","Midway, Pennsylvania",1906,1966.0
"Lincoln, NE",Presented to the AMS,1910,Elizabeth Ruth Grennan (Bennett),"October 9, 1880","October 15, 1972","Shawnee, Monroe County, Pennsylvania",1880,1972.0
"Poughkeepsie, NY",Presented to the AMS,1911,Elizabeth Ruth Grennan (Bennett),"October 9, 1880","October 15, 1972","Shawnee, Monroe County, Pennsylvania",1880,1972.0
"Lawrence, KS",Presented to the AMS,1912,Elizabeth Ruth Grennan (Bennett),"October 9, 1880","October 15, 1972","Shawnee, Monroe County, Pennsylvania",1880,1972.0
University of Chicago,Graduate Studies,1910,Rosa Lea Jackson,"May 7, 1883","January 15, 1967","Ripley, Tennessee",1883,1967.0
University of Chicago,Full-time Studies,1921,Rosa Lea Jackson,"May 7, 1883","January 15, 1967","Ripley, Tennessee",1883,1967.0
University of Chicago,Summer Studies,1925,Rosa Lea Jackson,"May 7, 1883","January 15, 1967","Ripley, Tennessee",1883,1967.0
University of Chicago,Summer Studies,1926,Rosa Lea Jackson,"May 7, 1883","January 15, 1967","Ripley, Tennessee",1883,1967.0
University of Chicago,Fellowship,1926,Rosa Lea Jackson,"May 7, 1883","January 15, 1967","Ripley, Tennessee",1883,1967.0
University of Chicago,Summer Studies,1927,Rosa Lea Jackson,"May 7, 1883","January 15, 1967","Ripley, Tennessee",1883,1967.0
Johns Hopkins University,Study,1890,Charlotte Cynthia Barnum,"May 17, 1860","March 27, 1934","Phillipston, Massachusetts",1860,1934.0
"International Mathematical Congress, Chicago",Attendance,1893,Charlotte Cynthia Barnum,"May 17, 1860","March 27, 1934","Phillipston, Massachusetts",1860,1934.0
England,Study and travel,1904,Charlotte Elvira Crathorne,"May 30, 1875","February 9, 1916","Juda, Wisconsin",1875,1916.0
"Göttingen, Germany",Study mathematics,1904,Charlotte Elvira Crathorne,"May 30, 1875","February 9, 1916","Juda, Wisconsin",1875,1916.0
Baylor University,Summer teaching,1930,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
University of Chicago,Attending classes as a visiting PhD,1931,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
