honor_name,honor_year,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Permanent secretary of the AMS membership committee,1920s,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
Trustee on the original board of the AMS,1927,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
Charter member of the MAA,,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
Trustee of the MAA,1923-1925,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
Vice president of the MAA,1927,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
Membership in MAA,1930,Joanna Isabel Mayer,"March 6, 1904","February 28, 1991","Pettis County, near Sedalia, Missouri",1904,1991.0
Phi Beta Kappa,,Mildred Caroline Somerset Waters Dean,"February 17, 1904","September 11, 1981","Baltimore, Maryland",1904,1981.0
Sigma Xi,,Mildred Caroline Somerset Waters Dean,"February 17, 1904","September 11, 1981","Baltimore, Maryland",1904,1981.0
President M. Carey Thomas European Fellowship,1917,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
Chi Omega Prize in Economics,,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
Mathematics and Greek Medals,1899,Alice Madeleine Dimick,"December 6, 1878","July 13, 1956","Washington, D.C.",1878,1956.0
Honorary LLD degree from the University of Arkansas,1949,Jewell Constance Hughes Bushey,"March 13, 1896","May 5, 1989","Fayetteville, Arkansas",1896,1989.0
Charter member of the MAA,1916,Eula Adeline Weeks King,"September 13, 1882","June 30, 1967","near Louisville, Georgia",1882,1967.0
Secretary of the mathematics section of the Missouri Society of Science and Mathematics Teachers,1920,Eula Adeline Weeks King,"September 13, 1882","June 30, 1967","near Louisville, Georgia",1882,1967.0
Vice president of the NCTM,1922,Eula Adeline Weeks King,"September 13, 1882","June 30, 1967","near Louisville, Georgia",1882,1967.0
NCTM board of directors,1923,Eula Adeline Weeks King,"September 13, 1882","June 30, 1967","near Louisville, Georgia",1882,1967.0
Bryn Mawr European Fellowship,1915,Marguerite Daisy Darkow,"November 12, 1893","December 9, 1992","Philadelphia, United States",1893,1992.0
Georgia College Alumni Heritage Award,1987,Sara Louise Nelson,"January 17, 1903","March 6, 1995","Oglethorpe, Georgia",1903,1995.0
Delta Kappa Gamma,Unknown,Mabel Jeanette Griffin Reavis,"August 28, 1907","November 19, 1999","Durham, North Carolina",1907,1999.0
Kappa Delta Pi,Unknown,Mabel Jeanette Griffin Reavis,"August 28, 1907","November 19, 1999","Durham, North Carolina",1907,1999.0
Sigma Pi Sigma,Unknown,Mabel Jeanette Griffin Reavis,"August 28, 1907","November 19, 1999","Durham, North Carolina",1907,1999.0
Phi Beta Kappa,Unknown,Mabel Jeanette Griffin Reavis,"August 28, 1907","November 19, 1999","Durham, North Carolina",1907,1999.0
Founder and former president of the Madison County Mathematics Association,,Anna Mayme Howe,"October 24, 1883","August 8, 1976","Jordan, New York",1883,1976.0
Charter member of the MAA,1915,Anna Mayme Howe,"October 24, 1883","August 8, 1976","Jordan, New York",1883,1976.0
Elected fellow in mathematics at the University of Missouri,1919,Ruby Usher Hightower,"June 17, 1880","May 5, 1959","near Covington, Georgia",1880,1959.0
Honorary Doctor of Science degree from University of Maine,1948,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
Alumna member of Phi Beta Kappa at Maine,1921,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
Dinner by Mathematics Study Club at Immaculate Heart,1947,Myrtie Collier,"September 14, 1877","June 25, 1974","Carthage, Missouri",1877,1974.0
Emma Josephine Arnold fellowship,1916,Marian Marsh Torrey,"December 9, 1893","September 16, 1971","Malden, Massachusetts",1893,1971.0
Erastus Brooks Fellowship,1930,Ethel Isabel Moody,"February 9, 1905","April 11, 1941","Rushville, New York",1905,1941.0
Final Honors,1909,Josephine Elizabeth Burns Glasgow,"July 22, 1887","January 22, 1969","Greenville, Illinois",1887,1969.0
AAUW Fellowship named in her honor,1951,Josephine Elizabeth Burns Glasgow,"July 22, 1887","January 22, 1969","Greenville, Illinois",1887,1969.0
National Secretary of Sigma Delta Epsilon,1926,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
National President of Sigma Delta Epsilon,1927,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
Vice Chairman of Iowa Section of the MAA,1928,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
Vice Chairman of Iowa Section of the MAA,1932,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
Chairman of Iowa Section of the MAA,1935,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
"Chair of Mathematics Section, Iowa Academy of Science",1936,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
"Alpha Society, Concordia’s major scholastic honor society",,Mae Ruth Anderson,"May 31, 1899","March 28, 1948","near Westby, Wisconsin",1899,1948.0
Phi Beta Kappa,,Louise Adelaide Wolf,"October 20, 1898","November 14, 1962","Milwaukee, Wisconsin",1898,1962.0
Sigma Xi,,Louise Adelaide Wolf,"October 20, 1898","November 14, 1962","Milwaukee, Wisconsin",1898,1962.0
Phi Beta Kappa,,Frances Thorndike Cope,"August 19, 1902","May 14, 1982","New York City, New York, USA",1902,1982.0
Charter Member of MAA,1916,Emma Kirtland McDonald,"August 3, 1886","July 7, 1948","Brooklyn, New York",1886,1948.0
Poland's Gold Cross of Merit,1954,Helen Mary Infeld,"July 20, 1907","July 6, 1993","The Bronx, New York City",1907,1993.0
"Chevalier Cross, Polonia Restituta",1970,Helen Mary Infeld,"July 20, 1907","July 6, 1993","The Bronx, New York City",1907,1993.0
Honorary life membership in Delta Sigma Omicron,,Echo Delores Pepper,"June 3, 1897","January 5, 1979","Spokane, Washington, USA",1897,1979.0
Phi Beta Kappa,,Leona May Peirce,"August 4, 1863","September 27, 1954","Norway, Maine",1863,1954.0
Sigma Kappa Phi,1926,Mary Margaret Taylor Speer,"March 27, 1906","November 23, 1966","Midway, Pennsylvania",1906,1966.0
QUAX,1926,Mary Margaret Taylor Speer,"March 27, 1906","November 23, 1966","Midway, Pennsylvania",1906,1966.0
John Grennan scholarship,1964,Elizabeth Ruth Grennan (Bennett),"October 9, 1880","October 15, 1972","Shawnee, Monroe County, Pennsylvania",1880,1972.0
Elizabeth R. Bennett scholarship,1972,Elizabeth Ruth Grennan (Bennett),"October 9, 1880","October 15, 1972","Shawnee, Monroe County, Pennsylvania",1880,1972.0
Corresponding Secretary of Kappa Mu Epsilon,1950,Rosa Lea Jackson,"May 7, 1883","January 15, 1967","Ripley, Tennessee",1883,1967.0
Phi Beta Kappa,,Sister Ann Elizabeth Shea,"September 19, 1900","May 14, 1957","St. Joseph, Missouri",1900,1957.0
Phi Beta Kappa,,Charlotte Cynthia Barnum,"May 17, 1860","March 27, 1934","Phillipston, Massachusetts",1860,1934.0
Pro Ecclesia et Pontifice Medal,1965,Mary Catherine Varnhorn,"July 8, 1914","November 9, 1988","Baltimore, Maryland",1914,1988.0
Phi Beta Kappa,,Charlotte Elvira Crathorne,"May 30, 1875","February 9, 1916","Juda, Wisconsin",1875,1916.0
Dorothy McCoy lecture series,1980,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Wayland Alumni Association plaque for distinguished service to students,1982,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Roy McClung Service plaque,,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Distinguished Lifetime Service Award from the Association of Former Students,1999,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Inductee into the Division of Mathematics and Science hall of honor at Wayland Baptist,2001,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Honorary Doctor of Science in Education,1960,Katharine Elizabeth O'Brien,"April 10, 1901","April 10, 1998","Amesbury, Massachusetts",1901,1998.0
Honorary Doctor of Humane Letters,1965,Katharine Elizabeth O'Brien,"April 10, 1901","April 10, 1998","Amesbury, Massachusetts",1901,1998.0
Deborah Morton Award,1985,Katharine Elizabeth O'Brien,"April 10, 1901","April 10, 1998","Amesbury, Massachusetts",1901,1998.0
Charter Member of MAA,1915,Gertrude Iona McCain,"July 15, 1879","April 4, 1955","Three Rivers, Michigan",1879,1955.0
Phi Beta Kappa,,Cora Barbara Hennel,"January 21, 1886","June 26, 1947","Evansville, Indiana",1886,1947.0
Mortar Board,,Cora Barbara Hennel,"January 21, 1886","June 26, 1947","Evansville, Indiana",1886,1947.0
Fellow of the AAAS,,Julia Wells Bower,"December 27, 1903","February 19, 1999","Reading, Pennsylvania",1903,1999.0
National President of Beta Phi Alpha,1936,Julia Wells Bower,"December 27, 1903","February 19, 1999","Reading, Pennsylvania",1903,1999.0
Julia Wells Bower prize for mathematics,,Julia Wells Bower,"December 27, 1903","February 19, 1999","Reading, Pennsylvania",1903,1999.0
Outstanding Educator Award from Regis College,1975,Sister Leonarda Burke,"November 24, 1900","March 1, 1998","Boston, Massachusetts",1900,1998.0
Special achievement award from the Geophysics Laboratory of the Air Force,1978,Sister Leonarda Burke,"November 24, 1900","March 1, 1998","Boston, Massachusetts",1900,1998.0
Florence Black Excellence in Teaching Award,1960,Florence Lucile Black,"November 22, 1889","September 13, 1974","Meade County, Kansas",1889,1974.0
Florence Black scholarship,,Florence Lucile Black,"November 22, 1889","September 13, 1974","Meade County, Kansas",1889,1974.0
Florence Black and Wealthy Babcock Professorship in Mathematics,2005,Florence Lucile Black,"November 22, 1889","September 13, 1974","Meade County, Kansas",1889,1974.0
Elected to the Faculty Women Hall of Fame by the Commission on the Status of Women,1973,Florence Lucile Black,"November 22, 1889","September 13, 1974","Meade County, Kansas",1889,1974.0
Benjamin Franklin Medal for excellence in American history,,Rose Alice Whelan Sedgewick,"June 16, 1903","June 7, 2000","Brockton, Massachusetts",1903,2000.0
Phi Beta Kappa,1924,Rose Alice Whelan Sedgewick,"June 16, 1903","June 7, 2000","Brockton, Massachusetts",1903,2000.0
Olivet College Distinguished Alumni Award,1961,Pauline Sperry,"March 5, 1885","September 24, 1967","Peabody, Massachusetts",1885,1967.0
Sir William Young Gold Medal,1891,Agnes Sime Baxter,"March 18, 1870","March 9, 1917","Halifax, Nova Scotia, Canada",1870,1917.0
Agnes Baxter Reading Room dedication,1988,Agnes Sime Baxter,"March 18, 1870","March 9, 1917","Halifax, Nova Scotia, Canada",1870,1917.0
Phi Beta Kappa,,Evelyn Carroll Rusk,"September 28, 1898","December 5, 1964","Rome, New York",1898,1964.0
Elizabeth Wilson White Memorial Scholarship,1928,Ruth Margaret Peters,"December 11, 1906","May 12, 1961","Gettysburg, Pennsylvania",1906,1961.0
President of the New York Lambda chapter of Phi Beta Kappa,Late 1950s,Ruth Margaret Peters,"December 11, 1906","May 12, 1961","Gettysburg, Pennsylvania",1906,1961.0
Sister Helen Sullivan scholarship,1967,Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
Distinguished Member of Kappa Mu Epsilon,1981,Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
George R. Mach Distinguished Service Award,1991,Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
Elected to the executive committee of the Maryland-District of Columbia-Virginia Section of the MAA,1938,Mildred Ellen Taylor,"July 25, 1898","November 3, 1978","Virginia, Illinois",1898,1978.0
Elected vice chair of the Maryland-District of Columbia-Virginia Section of the MAA,1953,Mildred Ellen Taylor,"July 25, 1898","November 3, 1978","Virginia, Illinois",1898,1978.0
Honorary Life Membership in the Northwestern University Alumni Association,1952,Lois Wilfred Griffiths,"June 27, 1899","November 9, 1981","Chagrin Falls, Ohio",1899,1981.0
Suzan R. Benedict Prize,1942,Suzan Rose Benedict,"November 29, 1873","April 8, 1942","Ohio, USA",1873,1942.0
Phi Beta Kappa,,Marian Augusta Wilder Thornton,"July 18, 1905","September 30, 1992","Shakopee, Minnesota",1905,1992.0
Sigma Xi,,Marian Augusta Wilder Thornton,"July 18, 1905","September 30, 1992","Shakopee, Minnesota",1905,1992.0
AAUW Achievement Award,1969,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Wellesley Alumnae Achievement Award,1983,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Honorary Degree from Regis College,,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Honorary Degree from MIT,,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Honorary Degree from Medical College of Philadelphia,,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
University Gold Medal,1931,Vera Adela Widder (née Ames),"December 12, 1909","May 18, 2004","Milestone, Saskatchewan, Canada",1909,2004.0
Nominee for AMS membership,1936,Ruth Gertrude Simond,"March 7, 1904","September 15, 1958","Franklin, New Hampshire",1904,1958.0
"Honors in Mathematics, Physics, and Chemistry",1931,Ruth Caroline McKee (Stauffer),"July 16, 1910","January 9, 1993","Harrisburg, Pennsylvania",1910,1993.0
European Fellow,1896,Virginia Ragsdale,"December 13, 1870","June 4, 1945","Jamestown, North Carolina",1870,1945.0
Dr. Virginia Ragsdale Residence Hall named in her honor,1950,Virginia Ragsdale,"December 13, 1870","June 4, 1945","Jamestown, North Carolina",1870,1945.0
Lion’s Paw Medal,1979,Teresa Cohen,"February 14, 1892","August 10, 1992","Baltimore, Maryland",1892,1992.0
Teresa Cohen Service Award,1982,Teresa Cohen,"February 14, 1892","August 10, 1992","Baltimore, Maryland",1892,1992.0
James E. Rhoads Sophomore Scholar,1918,Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
Charles S. Hinchman Memorial Scholar,1919,Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
Maria D. Eastman Brooke Hall Memorial Scholar,1920,Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
Anna M. Powers Memorial Scholar,1920,Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
Bryn Mawr European Fellowship,1920,Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
Shippen Foreign Scholarship,1920,Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
Scholarship in Mathematics,1903,Sarah Elizabeth Cronin,"July 1, 1877","October 2, 1958","Iowa, probably in Allamakee County",1877,1958.0
"Mathematics Department Fellowship, University of Wisconsin",1926,Mabel Frances Barnes (Schmeiser),"July 29, 1905","February 22, 1993","Wapello, Iowa",1905,1993.0
Morrison Hall named at Spalding University,1970,Sister Charles Mary Morrison,"July 19, 1895","January 15, 1953","Hyde Park, Massachusetts",1895,1953.0
Honorable Order of the Kentucky Colonels,1967,Sister Mary Charlotte Fowler,"August 26, 1899","August 26, 1997","Mechanicsville, Maryland",1899,1997.0
Horton-Hallowell Fellow,1930,Ruth Glidden Mason Ballard,"April 24, 1906","June 7, 1980","Chicago, Illinois",1906,1980.0
Vans Dunlop scholarship in mathematics,1917,Eleanor Pairman Brown,"June 8, 1896","September 14, 1973","Broomieknowe, Lasswade, Midlothian, Scotland",1896,1973.0
State Organizer for the Kansas Equal Suffrage Association,1911,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
First National Treasurer of Sigma Delta Epsilon,1922,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
Governor General’s Gold Medal,1932,M. Gweneth Humphreys,"October 22, 1911","October 6, 2006","South Vancouver, British Columbia",1911,2006.0
M. Gweneth Humphreys Award,2010,M. Gweneth Humphreys,"October 22, 1911","October 6, 2006","South Vancouver, British Columbia",1911,2006.0
Special Service Certificate,1963,Gertrude Blanch,"February 2, 1897","January 1, 1996","Kolno, Poland",1897,1996.0
Senior Citizen Award,1964,Gertrude Blanch,"February 2, 1897","January 1, 1996","Kolno, Poland",1897,1996.0
Federal Woman’s Award,1964,Gertrude Blanch,"February 2, 1897","January 1, 1996","Kolno, Poland",1897,1996.0
Fred Ellsworth Medallion,1977,Wealthy Consuelo Babcock,"November 18, 1895","April 10, 1990","Washington County, Kansas",1895,1990.0
University of Kansas Women’s Hall of Fame,1973,Wealthy Consuelo Babcock,"November 18, 1895","April 10, 1990","Washington County, Kansas",1895,1990.0
Naval Ordnance Development Award,1946,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
SWE Achievement Award,1964,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Computer Science Man-of-the-Year Award,1969,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Harry Goode Memorial Award,1970,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Wilbur Lucius Cross Medal,1972,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Legion of Merit,1973,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
IEEE W. Wallace McDowell Award,1979,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
IEEE Computer Pioneer Medal,1983,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
AAUW Achievement Award,1983,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Federally Employed Women Achievement Award,1983,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
ACM Distinguished Service Award,1983,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Ada August Lovelace Award,1983,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Federation of Government Information Processing Council Lifetime Achievement Award,1986,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
National Medal of Technology,1991,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
DAR Medal to Women Worthy of Honor,1992,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Phi Beta Kappa,,Elizabeth Morgan Cooper,"January 19, 1891","May 17, 1967","Syracuse, New York",1891,1967.0
Sigma Xi,,Elizabeth Morgan Cooper,"January 19, 1891","May 17, 1967","Syracuse, New York",1891,1967.0
Pi Mu Epsilon,,Elizabeth Morgan Cooper,"January 19, 1891","May 17, 1967","Syracuse, New York",1891,1967.0
Clark Professor of Mathematics,1941,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
Barbour Scholarship for Oriental Women,,Shu Ting Liu Hsia,"September 25, 1903","August 16, 1980","Beijing, China",1903,1980.0
Pi Lambda Theta,,Nola Lee Anderson Haynes,"January 9, 1897","December 21, 1996","Bucklin, Linn County, Missouri",1897,1996.0
National Society of Colonial Dames of America Honor Roll,1980,Nola Lee Anderson Haynes,"January 9, 1897","December 21, 1996","Bucklin, Linn County, Missouri",1897,1996.0
College of Arts and Science Silver Chalk Award,1995,Nola Lee Anderson Haynes,"January 9, 1897","December 21, 1996","Bucklin, Linn County, Missouri",1897,1996.0
Phi Beta Kappa,,Grace Andrews,"May 30, 1869","July 27, 1951","Brooklyn, New York",1869,1951.0
AAAS Fellow,,Emma Julia Olson,"December 7, 1892","November 14, 1981","Fairview, South Dakota",1892,1981.0
Phi Beta Kappa,,Annie Dale Andrews (Biddle),"December 13, 1885","April 14, 1940","Hanford, California",1885,1940.0
Sigma Xi,,Annie Dale Andrews (Biddle),"December 13, 1885","April 14, 1940","Hanford, California",1885,1940.0
William Mulock scholarship in mathematics,1892,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
half of the physics scholarship,1893,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
honorary DSc degree by University of Toronto,1927,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
Phi Beta Kappa,1922,Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
Delta Sigma Rho,1923,Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
Election to the Hunter College Hall of Fame,1973,Edna Ernestine Kramer,"May 11, 1902","July 9, 1984","New York, New York",1902,1984.0
Mary E. Garrett European Fellowship,1894,Ada Isabel Maddison,"April 13, 1869","October 22, 1950","Whitehaven, Cumberland, England",1869,1950.0
Phi Beta Kappa,,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
Sigma Xi,,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
Alumnae Citation from the College of Saint Teresa,1973,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
Phi Beta Kappa,,Dorothy Bothwell Kohlmetz,"January 25, 1906","December 18, 1941","Albany, New York",1906,1941.0
National Women’s Press Club Award in Economics,1948,Dorothy Elizabeth Brady (Stahl),"June 14, 1903","April 17, 1977","Elk River, Minnesota",1903,1977.0
Fellow of the American Statistical Association,1950,Dorothy Elizabeth Brady (Stahl),"June 14, 1903","April 17, 1977","Elk River, Minnesota",1903,1977.0
Fellow of the Econometric Society,1951,Dorothy Elizabeth Brady (Stahl),"June 14, 1903","April 17, 1977","Elk River, Minnesota",1903,1977.0
Vice Chairman of the Illinois Section of the MAA,1939,Mildred Hunt,"May 8, 1888","December 14, 1975","Fairport, New York",1888,1975.0
Chairman of the Illinois Section of the MAA,1940,Mildred Hunt,"May 8, 1888","December 14, 1975","Fairport, New York",1888,1975.0
Phi Beta Kappa,,Mildred Hunt,"May 8, 1888","December 14, 1975","Fairport, New York",1888,1975.0
Rosella Kanarik Scholarship,,Rosella Kanarik,"February 7, 1909",,"Bartfa, Hungary",1909,
MAA Governor-at-large,1940,Mayme Irwin Logsdon,"February 1, 1881","July 4, 1967","Elizabethtown, Kentucky",1881,1967.0
President of Sigma Delta Epsilon,1939,Mayme Irwin Logsdon,"February 1, 1881","July 4, 1967","Elizabethtown, Kentucky",1881,1967.0
Phi Kappa Phi,,Hazel Edith Schoonmaker Wilson,"October 31, 1888","April 23, 1988","Philadelphia, Pennsylvania",1888,1988.0
Pi Lambda Theta,,Hazel Edith Schoonmaker Wilson,"October 31, 1888","April 23, 1988","Philadelphia, Pennsylvania",1888,1988.0
Alumnae Achievement Citation,1954,Beatrice Aitchison,"July 18, 1908","September 22, 1997","Portland, Oregon",1908,1997.0
Federal Woman’s Award,1961,Beatrice Aitchison,"July 18, 1908","September 22, 1997","Portland, Oregon",1908,1997.0
Career Service Award,1970,Beatrice Aitchison,"July 18, 1908","September 22, 1997","Portland, Oregon",1908,1997.0
Honorary DSc from Goucher College,1979,Beatrice Aitchison,"July 18, 1908","September 22, 1997","Portland, Oregon",1908,1997.0
Alumni Fellow of the College of Arts and Sciences at the University of Oregon,1996,Beatrice Aitchison,"July 18, 1908","September 22, 1997","Portland, Oregon",1908,1997.0
Woodrow Wilson Award from Johns Hopkins Alumni Association,1997,Beatrice Aitchison,"July 18, 1908","September 22, 1997","Portland, Oregon",1908,1997.0
Susan Rhoda Cutler fellowship,1932,Miriam Freda Mazur (Becker),"March 30, 1909","March 5, 2000","New York, New York",1909,2000.0
Sigma Xi membership,1933,Miriam Freda Mazur (Becker),"March 30, 1909","March 5, 2000","New York, New York",1909,2000.0
Honorary Doctor of Humane Letters (LHD) from Towson State University,1981,Dorothy L. Bernstein,"April 11, 1914","February 5, 1988","Chicago, Illinois",1914,1988.0
Certificate for Meritorious Service from the Maryland-District of Columbia-Virginia Section of the MAA,1985,Dorothy L. Bernstein,"April 11, 1914","February 5, 1988","Chicago, Illinois",1914,1988.0
Pi Lambda Theta,,Marguerite Lenore Hedberg,"August 27, 1907","August 27, 2002","Kirksville, Missouri",1907,2002.0
