parent_name,parent_birthdate,parent_deathdate,parent_birthyear,parent_deathyear,parent_profession,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Mark Henry Killen,1877,1945,1877.0,1945.0,Treasurer of the Union Lumber Company,Antoinette Marie Huston (née Killen),"November 23, 1904","July 13, 1993","Chicago, Illinois",1904,1993.0
Bessie Knotts,1864,1914,1864.0,1914.0,,Bessie Irving Miller,"November 4, 1884","February 4, 1931","Baltimore, Maryland",1884,1931.0
Irving Miller,1858,1946,1858.0,1946.0,Surgeon,Bessie Irving Miller,"November 4, 1884","February 4, 1931","Baltimore, Maryland",1884,1931.0
Elizabeth Christine Schultze,1853,1929,1853.0,1929.0,,Mary Gertrude Haseman,"March 6, 1889","April 9, 1979","Linton, Indiana",1889,1979.0
John Dieterich Haseman,1847,1924,1847.0,1924.0,,Mary Gertrude Haseman,"March 6, 1889","April 9, 1979","Linton, Indiana",1889,1979.0
Mary Etta Kirwin,1867,,1867.0,,,Henrietta Pearl Terry Nee,"December 30, 1904","June 5, 1981","Virden, Illinois",1904,1981.0
Herman R. Terry,1863,,1863.0,,Farmer,Henrietta Pearl Terry Nee,"December 30, 1904","June 5, 1981","Virden, Illinois",1904,1981.0
Oline Steen,1876,,1876.0,,,Ruth Beatrice Rasmusen,"March 29, 1899","October 27, 1974","Moorhead, Minnesota",1899,1974.0
Robert Rasmusen,1866,,1866.0,,Barber,Ruth Beatrice Rasmusen,"March 29, 1899","October 27, 1974","Moorhead, Minnesota",1899,1974.0
Margaret Seeds,1859,1944,1859.0,1944.0,"Homemaker, Seamstress, Teacher",Carolyn Grace Shover Quinn,"December 20, 1906","February 4, 1998","Grove City, Ohio",1906,1998.0
Cyrus F. Shover,1857,1939,1857.0,1939.0,"Carpenter, Lumber Business",Carolyn Grace Shover Quinn,"December 20, 1906","February 4, 1998","Grove City, Ohio",1906,1998.0
Mary Madeline Gully,1867,1937,1867.0,1937.0,Homemaker,Harriet Madeline Griffin,"April 6, 1903","January 13, 1991","Brooklyn, New York",1903,1991.0
James Harry Griffin,1872,1936,1872.0,1936.0,Furniture Buyer,Harriet Madeline Griffin,"April 6, 1903","January 13, 1991","Brooklyn, New York",1903,1991.0
Margaret Kreuder,1871,,1871.0,,,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
George Lehr,1870,,1870.0,,Grocer,Anna Marguerite Marie Lehr,"October 22, 1898","December 14, 1987","Baltimore, Maryland",1898,1987.0
Louisa Cartwright (Stoney) Stokes,1873,1906,1873.0,1906.0,,Ellen Clayton Stokes,"September 27, 1900","May 23, 1974","Hackensack, New Jersey",1900,1974.0
John Edgar Stokes,1872,,1872.0,,"Manufacturing representative, later retail selling and appliance store owner",Ellen Clayton Stokes,"September 27, 1900","May 23, 1974","Hackensack, New Jersey",1900,1974.0
Mary Mogilska,1864,,1864.0,,,Mary Helen Sagal (Sznyter),"June 21, 1893","March 24, 1975","Woodhaven, New York",1893,1975.0
Valentine Sznyter,1851,1948,1851.0,1948.0,Farmer,Mary Helen Sagal (Sznyter),"June 21, 1893","March 24, 1975","Woodhaven, New York",1893,1975.0
Stella Eugenia Durbin,1882,,1882.0,,,Marjorie Leffler Alden,"August 29, 1909","October 5, 2000","Kyle, Ohio",1909,2000.0
William Homer Leffler,1876,,1876.0,,Commercial traveler,Marjorie Leffler Alden,"August 29, 1909","October 5, 2000","Kyle, Ohio",1909,2000.0
Mary Anna (Klarmann) Karl,1866,,1866.0,,,Elizabeth E. Mary Karl,"November 16, 1893","August 30, 1984",New York City,1893,1984.0
Edward Philip Karl,1865,,1865.0,,Office Clerk,Elizabeth E. Mary Karl,"November 16, 1893","August 30, 1984",New York City,1893,1984.0
Ellen Olson,1867,,1867.0,,,Marie Mathilda Yeaton,"March 1, 1898","March 19, 1978","Galesburg, Illinois",1898,1978.0
Oscar William Johnson,1866,,1866.0,,Proprietor of a grocery store,Marie Mathilda Yeaton,"March 1, 1898","March 19, 1978","Galesburg, Illinois",1898,1978.0
Winifred Parker (Stone),1869,1970,1869.0,1970.0,Teacher,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
Walter Earle Russell,1869,1948,1869.0,1948.0,Principal and Faculty Member,Helen Gertrude Russell,"September 28, 1901","October 24, 1968","Gorham, Maine",1901,1968.0
Lucretia Gentry,1830,1909,1830.0,1909.0,,Ruth Ellen Gentry,"February 22, 1862","October 18, 1917","Stilesville, Indiana",1862,1917.0
Jeremiah Gentry,1827,1906,1827.0,1906.0,"Farmer and stock trader, later dry goods merchant",Ruth Ellen Gentry,"February 22, 1862","October 18, 1917","Stilesville, Indiana",1862,1917.0
Florence Kate Waidlich,1867,1966,1867.0,1966.0,,Florence Marie Mears,"May 18, 1896","December 3, 1995","Baltimore, Maryland",1896,1995.0
Frank G. Mears,1863,,1863.0,,Manager of a farm implements store,Florence Marie Mears,"May 18, 1896","December 3, 1995","Baltimore, Maryland",1896,1995.0
Mary Anna Hemann,1843,,1843.0,,Housewife,Sister Marie Cecilia Mangold,"December 5, 1872","February 9, 1934","Cincinnati, Ohio",1872,1934.0
Matthew Mangold,ca. 1833,by 1900,1833.0,1900.0,"Dealer in imported wines, brandies, and liquor",Sister Marie Cecilia Mangold,"December 5, 1872","February 9, 1934","Cincinnati, Ohio",1872,1934.0
Louisa Latimer,1831,1914,1831.0,1914.0,,Clara Latimer Bacon,"August 13, 1866","April 14, 1948","Hillsgrove, Illinois",1866,1948.0
Larkin Crouch Bacon,1818,1877,1818.0,1877.0,Farmer and stock dealer,Clara Latimer Bacon,"August 13, 1866","April 14, 1948","Hillsgrove, Illinois",1866,1948.0
Alice (Alise) Johnson,1870,1956,1870.0,1956.0,None specified,Sally Elizabeth Carlson,"October 2, 1896","November 1, 2000","Minneapolis, Minnesota",1896,2000.0
Carl Emil Carlson,1858,1950,1858.0,1950.0,Stone mason,Sally Elizabeth Carlson,"October 2, 1896","November 1, 2000","Minneapolis, Minnesota",1896,2000.0
Sophie Levy,ca. 1885,,1885.0,,,Jeanette Delevie (Fox),"January 13, 1912","July 29, 1997","New York, New York",1912,1997.0
Jacob Fox,1874,1935,1874.0,1935.0,President of the Owners and Tenants Electric Company,Jeanette Delevie (Fox),"January 13, 1912","July 29, 1997","New York, New York",1912,1997.0
Elizabeth Mansfield (Street),1843,1926,1843.0,1926.0,,Elizabeth Street Dickerman,"November 13, 1872","April 24, 1965","West Haven, Connecticut",1872,1965.0
George Sherwood Dickerman,1843,1937,1843.0,1937.0,Congregational minister,Elizabeth Street Dickerman,"November 13, 1872","April 24, 1965","West Haven, Connecticut",1872,1965.0
Lillian Hope McFarland,1867,,1867.0,,,Elsie Jeannette McFarland Buck,"June 3, 1897","January 11, 1984","St. Louis, Missouri",1897,1984.0
Francis W. McFarland,1863,,1863.0,,"Clerk, High School Teacher",Elsie Jeannette McFarland Buck,"June 3, 1897","January 11, 1984","St. Louis, Missouri",1897,1984.0
Mabel Edith Owen,1874,,1874.0,,,Rachel Adams (Blodgett),"October 13, 1894","January 22, 1982","Woburn, Massachusetts",1894,1982.0
William Edward Blodgett,1864,,1864.0,,"Treasurer of a tile manufacturing company, former mayor of Woburn",Rachel Adams (Blodgett),"October 13, 1894","January 22, 1982","Woburn, Massachusetts",1894,1982.0
Coral Gage,1891,1959,1891.0,1959.0,Housewife,Cleota Gage Fry,"December 30, 1910","July 1, 2001","Shoshone, Idaho",1910,2001.0
Holmes L. Fry,1878,1968,1878.0,1968.0,Machinist,Cleota Gage Fry,"December 30, 1910","July 1, 2001","Shoshone, Idaho",1910,2001.0
Ida Bushnell,1858,1941,1858.0,1941.0,,Ida Barney,"November 6, 1886","March 7, 1982","New Haven, Connecticut",1886,1982.0
Samuel Eben Barney,1859,1940,1859.0,1940.0,Civil Engineering Faculty at Yale,Ida Barney,"November 6, 1886","March 7, 1982","New Haven, Connecticut",1886,1982.0
Ellen Dunne,,,,,,Sister Mary de Lellis,"February 15, 1892","April 7, 1983","Kilmore, County Wexford, Ireland",1892,1983.0
Walter Gough,,,,,,Sister Mary de Lellis,"February 15, 1892","April 7, 1983","Kilmore, County Wexford, Ireland",1892,1983.0
Mary Kurash Kloyda,1875,1954,1875.0,1954.0,Sewing machine operator,Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
John L. Kloyda,1869,1940,1869.0,1940.0,"Bartender, Machinist",Sister Mary Thomas `a Kempis Kloyda,"May 15, 1896","March 19, 1977","Manly, Iowa, USA",1896,1977.0
Georgiana Smith,1834,,1834.0,,,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
Edward Smith,1832,1894,1832.0,1894.0,farmer and cabinet maker,Clara Eliza Smith,"May 20, 1865","May 12, 1943","Northford, Connecticut",1865,1943.0
Gertrude Groce,1870,1949,1870.0,1949.0,Normal school graduate,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
Albert Henry Cole,1868,1925,1868.0,1925.0,Grocery business,Nancy Cole,"October 15, 1902","July 7, 1991","Boston, Massachusetts",1902,1991.0
Anna Poinsignon,1871,1960,1871.0,1960.0,Farmer,Joanna Isabel Mayer,"March 6, 1904","February 28, 1991","Pettis County, near Sedalia, Missouri",1904,1991.0
Edward John Mayer,ca. 1869,1941,1869.0,1941.0,Farmer,Joanna Isabel Mayer,"March 6, 1904","February 28, 1991","Pettis County, near Sedalia, Missouri",1904,1991.0
Caroline F. Waters,1870,,1870.0,,,Mildred Caroline Somerset Waters Dean,"February 17, 1904","September 11, 1981","Baltimore, Maryland",1904,1981.0
Robert F. Waters,1867,,1867.0,,Proprietor of a feed store,Mildred Caroline Somerset Waters Dean,"February 17, 1904","September 11, 1981","Baltimore, Maryland",1904,1981.0
Mary Jane Douglas,1847,1917,1847.0,1917.0,,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
John Marion Turner,1838,1910,1838.0,1910.0,Farmer,Bird Margaret Turner,"April 18, 1877","September 5, 1962","Moundsville, West Virginia",1877,1962.0
Alice Maria McIntosh,1843,1932,1843.0,1932.0,Teacher,Alice Madeleine Dimick,"December 6, 1878","July 13, 1956","Washington, D.C.",1878,1956.0
William Blagrove McKelden,1842,1905,1842.0,1905.0,Cashier of the US Treasury,Alice Madeleine Dimick,"December 6, 1878","July 13, 1956","Washington, D.C.",1878,1956.0
Cora A. Stanley,1867,,1867.0,,,Jewell Constance Hughes Bushey,"March 13, 1896","May 5, 1989","Fayetteville, Arkansas",1896,1989.0
James R. Hughes,1862,,1862.0,,"Merchant, Sawmill Operator, Timberman",Jewell Constance Hughes Bushey,"March 13, 1896","May 5, 1989","Fayetteville, Arkansas",1896,1989.0
Luella Vienna Tarver,1860,1935,1860.0,1935.0,,Eula Adeline Weeks King,"September 13, 1882","June 30, 1967","near Louisville, Georgia",1882,1967.0
Caleb Garvin Weeks,1850,1914,1850.0,1914.0,"bookkeeper, bank clerk, county court clerk",Eula Adeline Weeks King,"September 13, 1882","June 30, 1967","near Louisville, Georgia",1882,1967.0
Flora Singer Darkow,1867,1942,1867.0,1942.0,Piano Teacher,Marguerite Daisy Darkow,"November 12, 1893","December 9, 1992","Philadelphia, United States",1893,1992.0
Martin Darkow,1856,1928,1856.0,1928.0,"Doctor, Newspaper Editor, Music Teacher, Music and Theatre Critic",Marguerite Daisy Darkow,"November 12, 1893","December 9, 1992","Philadelphia, United States",1893,1992.0
Mattie Trussell,1872,1910,1872.0,1910.0,,Sara Louise Nelson,"January 17, 1903","March 6, 1995","Oglethorpe, Georgia",1903,1995.0
John Pendleton Nelson,1856,1932,1856.0,1932.0,"dry goods merchant, teacher, county superintendent of schools",Sara Louise Nelson,"January 17, 1903","March 6, 1995","Oglethorpe, Georgia",1903,1995.0
Elizabeth Mary Vinyard,1854,1908,1854.0,1908.0,,Flora Elizabeth LeStourgeon,"June 1, 1880","February 6, 1971","Farmville, Virginia",1880,1971.0
Frederick George LeStourgeon,1846,1904,1846.0,1904.0,Farmer and Canning Company Operator,Flora Elizabeth LeStourgeon,"June 1, 1880","February 6, 1971","Farmville, Virginia",1880,1971.0
Naomi Frances Burke,1874,1966,1874.0,1966.0,Unknown,Mabel Jeanette Griffin Reavis,"August 28, 1907","November 19, 1999","Durham, North Carolina",1907,1999.0
Charles A. Griffin,1871,1958,1871.0,1958.0,Carpenter and home builder,Mabel Jeanette Griffin Reavis,"August 28, 1907","November 19, 1999","Durham, North Carolina",1907,1999.0
Eleanor Caldwell (Reed),1855,1943,1855.0,1943.0,,Anna Mayme Howe,"October 24, 1883","August 8, 1976","Jordan, New York",1883,1976.0
Lewis B. Howe,1852,1928,1852.0,1928.0,"City missionary, Superintendent of the Gospel Knowledge and Mission Union, Farmer",Anna Mayme Howe,"October 24, 1883","August 8, 1976","Jordan, New York",1883,1976.0
Amarinth Sims Hightower,1844,1908,1844.0,1908.0,,Ruby Usher Hightower,"June 17, 1880","May 5, 1959","near Covington, Georgia",1880,1959.0
James Richard Hightower,1846,1933,1846.0,1933.0,"farmer, contractor",Ruby Usher Hightower,"June 17, 1880","May 5, 1959","near Covington, Georgia",1880,1959.0
Emma Stinchfield,1851,,1851.0,,,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
Lemuel Copeland,1845,1927,1845.0,1927.0,Manufacturer,Lennie Phoebe Copeland,"March 30, 1881","January 11, 1951","Brewer, Maine",1881,1951.0
Angeline Willson,1839,,1839.0,,,Myrtie Collier,"September 14, 1877","June 25, 1974","Carthage, Missouri",1877,1974.0
Ervin Collier,1832,,1832.0,,Farmer,Myrtie Collier,"September 14, 1877","June 25, 1974","Carthage, Missouri",1877,1974.0
Emma Marie Wildhaber,1867,,1867.0,,Clerk in a bakery,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Fritz Guggenbuhl,1859,Before 1920,1859.0,,Butcher and Baker,Laura Guggenbuhl,"November 18, 1901","March 8, 1985","New York City, New York, USA",1901,1985.0
Anna Louise Marsh,1859,,1859.0,,,Marian Marsh Torrey,"December 9, 1893","September 16, 1971","Malden, Massachusetts",1893,1971.0
Daniel Temple Torrey,1859,,1859.0,,Insurance agent,Marian Marsh Torrey,"December 9, 1893","September 16, 1971","Malden, Massachusetts",1893,1971.0
Alice Arminda Stearns,1866,,1866.0,,,Ethel Isabel Moody,"February 9, 1905","April 11, 1941","Rushville, New York",1905,1941.0
Edward L. Moody,1865,,1865.0,,Farmer,Ethel Isabel Moody,"February 9, 1905","April 11, 1941","Rushville, New York",1905,1941.0
Ida Jane Carey,1856,1929,1856.0,1929.0,,Josephine Elizabeth Burns Glasgow,"July 22, 1887","January 22, 1969","Greenville, Illinois",1887,1969.0
James Clinton Burns,1850,1930,1850.0,1930.0,Professor of History,Josephine Elizabeth Burns Glasgow,"July 22, 1887","January 22, 1969","Greenville, Illinois",1887,1969.0
Annie Amelia Wright,1868,1930,1868.0,1930.0,,Jessie Marie Offermann (Jacobs),"October 1, 1890","July 7, 1954","Wilmington, Delaware",1890,1954.0
William C. Jacobs,1860,1942,1860.0,1942.0,"Carriage maker, cabinet maker, house carpenter",Jessie Marie Offermann (Jacobs),"October 1, 1890","July 7, 1954","Wilmington, Delaware",1890,1954.0
Celia Eliza Trueman,1848,1930,1848.0,1930.0,,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
James Wallace Colpitts,ca. 1844,1919,1844.0,1919.0,,Julia Trueman Colpitts,"February 22, 1875","August 8, 1936","Pointe de Bute, New Brunswick, Canada",1875,1936.0
Ida Berg,1862,1942,1862.0,1942.0,,Mae Ruth Anderson,"May 31, 1899","March 28, 1948","near Westby, Wisconsin",1899,1948.0
Norton Alfred Anderson,1862,1930,1862.0,1930.0,merchant,Mae Ruth Anderson,"May 31, 1899","March 28, 1948","near Westby, Wisconsin",1899,1948.0
Caroline Kupperian,1875,1973,1875.0,1973.0,,Louise Adelaide Wolf,"October 20, 1898","November 14, 1962","Milwaukee, Wisconsin",1898,1962.0
John Theodore Wolf,1872,1953,1872.0,1953.0,Truck Gardener,Louise Adelaide Wolf,"October 20, 1898","November 14, 1962","Milwaukee, Wisconsin",1898,1962.0
Elizabeth Moulton Thorndike,1878,,1878.0,,Classical course graduate from Boston University,Frances Thorndike Cope,"August 19, 1902","May 14, 1982","New York City, New York, USA",1902,1982.0
Edward L. Thorndike,1874,1949,1874.0,1949.0,"Educational psychologist, faculty at Teachers College, Columbia University",Frances Thorndike Cope,"August 19, 1902","May 14, 1982","New York City, New York, USA",1902,1982.0
Ella E. Lewis,1851,,1851.0,,,Emma Kirtland McDonald,"August 3, 1886","July 7, 1948","Brooklyn, New York",1886,1948.0
Erastus T. Whiton,1849,,1849.0,,Undertaker,Emma Kirtland McDonald,"August 3, 1886","July 7, 1948","Brooklyn, New York",1886,1948.0
Ann Elizabeth Dobler,1860,1928,1860.0,1928.0,,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
John Robert Sutton,1858,1938,1858.0,1938.0,Dry goods business,Flora Dobler Sutton,"June 7, 1890","June 23, 1976","Baltimore, Maryland",1890,1976.0
Margaret Brosnahan,1872,1947,1872.0,1947.0,,Helen Mary Infeld,"July 20, 1907","July 6, 1993","The Bronx, New York City",1907,1993.0
William Storb Schlauch,1873,1953,1873.0,1953.0,Mathematics Teacher and Professor,Helen Mary Infeld,"July 20, 1907","July 6, 1993","The Bronx, New York City",1907,1993.0
Josephine LaBena (Sanderson),1872,1930,1872.0,1930.0,Accountant,Echo Delores Pepper,"June 3, 1897","January 5, 1979","Spokane, Washington, USA",1897,1979.0
Albert Ephraim Pepper,1872,1944,1872.0,1944.0,Accountant,Echo Delores Pepper,"June 3, 1897","January 5, 1979","Spokane, Washington, USA",1897,1979.0
Mary Hobbs (Foster),1839,,1839.0,,,Leona May Peirce,"August 4, 1863","September 27, 1954","Norway, Maine",1863,1954.0
Levi Merriam Peirce,1833,1908,1833.0,1908.0,Music dealer,Leona May Peirce,"August 4, 1863","September 27, 1954","Norway, Maine",1863,1954.0
Hallie Blanche Virginia Criss,1875,1959,1875.0,1959.0,Teacher and housewife,Mary Margaret Taylor Speer,"March 27, 1906","November 23, 1966","Midway, Pennsylvania",1906,1966.0
Albert Aaron Taylor,1872,1937,1872.0,1937.0,"Carpenter, mason, cabinet maker, and general contractor",Mary Margaret Taylor Speer,"March 27, 1906","November 23, 1966","Midway, Pennsylvania",1906,1966.0
Emmeline Loux,1852,1923,1852.0,1923.0,,Elizabeth Ruth Grennan (Bennett),"October 9, 1880","October 15, 1972","Shawnee, Monroe County, Pennsylvania",1880,1972.0
Daniel Tinsman Bennett,1847,1921,1847.0,1921.0,"Miller, Proprietor of a livery stable",Elizabeth Ruth Grennan (Bennett),"October 9, 1880","October 15, 1972","Shawnee, Monroe County, Pennsylvania",1880,1972.0
Mary Thom (Palmer),ca. 1853,,1853.0,,,Rosa Lea Jackson,"May 7, 1883","January 15, 1967","Ripley, Tennessee",1883,1967.0
James Knox Polk Jackson,1842,1925,1842.0,1925.0,farmer,Rosa Lea Jackson,"May 7, 1883","January 15, 1967","Ripley, Tennessee",1883,1967.0
Elizabeth Raney,1874,,1874.0,,,Sister Ann Elizabeth Shea,"September 19, 1900","May 14, 1957","St. Joseph, Missouri",1900,1957.0
Martin J. Shea,1864,1933,1864.0,1933.0,Policeman,Sister Ann Elizabeth Shea,"September 19, 1900","May 14, 1957","St. Joseph, Missouri",1900,1957.0
Charlotte Betts,1823,1899,1823.0,1899.0,,Charlotte Cynthia Barnum,"May 17, 1860","March 27, 1934","Phillipston, Massachusetts",1860,1934.0
Samuel Weed Barnum,1820,1891,1820.0,1891.0,Pastor and Editor,Charlotte Cynthia Barnum,"May 17, 1860","March 27, 1934","Phillipston, Massachusetts",1860,1934.0
Eleanor Levy,1889,,1889.0,,,Mary Catherine Varnhorn,"July 8, 1914","November 9, 1988","Baltimore, Maryland",1914,1988.0
John Henry Varnhorn,1890,1978,1890.0,1978.0,"Commercial traveler, later a solicitor for a food company",Mary Catherine Varnhorn,"July 8, 1914","November 9, 1988","Baltimore, Maryland",1914,1988.0
Mary Ellen Preston,1853,,1853.0,,,Charlotte Elvira Crathorne,"May 30, 1875","February 9, 1916","Juda, Wisconsin",1875,1916.0
Winfield Sherman Pengra,1847,,1847.0,,"Farmer, Landlord",Charlotte Elvira Crathorne,"May 30, 1875","February 9, 1916","Juda, Wisconsin",1875,1916.0
Susan Ellen Holmes,1876,1941,1876.0,1941.0,,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Stephen Franklin McCoy,1860,1906,1860.0,1906.0,Farmer,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Catherine Higgins,1867,1947,1867.0,1947.0,,Katharine Elizabeth O'Brien,"April 10, 1901","April 10, 1998","Amesbury, Massachusetts",1901,1998.0
Martin William O'Brien,1867,1944,1867.0,1944.0,Superintendent of the Songo River Steamboat Line,Katharine Elizabeth O'Brien,"April 10, 1901","April 10, 1998","Amesbury, Massachusetts",1901,1998.0
Alice A. Neff,1855,,1855.0,,,Gertrude Iona McCain,"July 15, 1879","April 4, 1955","Three Rivers, Michigan",1879,1955.0
Charles Edwin McCain,1854,,1854.0,,"Grocer, Manufacturer of Lime, Foreman, Bailiff",Gertrude Iona McCain,"July 15, 1879","April 4, 1955","Three Rivers, Michigan",1879,1955.0
Anna M. Thuman,1854,1925,1854.0,1925.0,,Cora Barbara Hennel,"January 21, 1886","June 26, 1947","Evansville, Indiana",1886,1947.0
Joseph Hennel,1842,1934,1842.0,1934.0,"Teacher, Civil War veteran, Businessman",Cora Barbara Hennel,"January 21, 1886","June 26, 1947","Evansville, Indiana",1886,1947.0
Maud Estella Weightman,1874,1968,1874.0,1968.0,Housewife,Julia Wells Bower,"December 27, 1903","February 19, 1999","Reading, Pennsylvania",1903,1999.0
Andrew Park Bower,1869,1949,1869.0,1949.0,"Cigar maker, labor leader, mediator",Julia Wells Bower,"December 27, 1903","February 19, 1999","Reading, Pennsylvania",1903,1999.0
Caroline Dorcas (Leonard),1860,1934,1860.0,1934.0,Housewife,Sister Leonarda Burke,"November 24, 1900","March 1, 1998","Boston, Massachusetts",1900,1998.0
James Henry Burke,1857,ca. 1904,1857.0,1904.0,Chief telegrapher for Western Union,Sister Leonarda Burke,"November 24, 1900","March 1, 1998","Boston, Massachusetts",1900,1998.0
Mary Ella Winslow,1852,,1852.0,,,Florence Lucile Black,"November 22, 1889","September 13, 1974","Meade County, Kansas",1889,1974.0
Moses Black,1845,,1845.0,,land surveyor and rancher,Florence Lucile Black,"November 22, 1889","September 13, 1974","Meade County, Kansas",1889,1974.0
Mary Lawless,1856,,1856.0,,,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Eugene Galvin,1857,,1857.0,,Farmer,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Anna Burns (Schermerhorn),1869,,1869.0,,,Helen Calkins,"October 20, 1893","June 17, 1970","Quincy, Illinois",1893,1970.0
Addison Niles Calkins,1865,,1865.0,,Superintendent of Electric Wheelworks,Helen Calkins,"October 20, 1893","June 17, 1970","Quincy, Illinois",1893,1970.0
Mary Theresa Manchester,1864,1942,1864.0,1942.0,None (handled family finances),Rose Alice Whelan Sedgewick,"June 16, 1903","June 7, 2000","Brockton, Massachusetts",1903,2000.0
Daniel Edward Whelan,1868,1955,1868.0,1955.0,Shoe factory cutter,Rose Alice Whelan Sedgewick,"June 16, 1903","June 7, 2000","Brockton, Massachusetts",1903,2000.0
Mary Callahan,1853,,1853.0,,,Helen Agnes Kelley,"September 8, 1888","October 22, 1926","Roxbury, Boston, Massachusetts",1888,1926.0
John P. Kelley,1848,,1848.0,,Plumber,Helen Agnes Kelley,"September 8, 1888","October 22, 1926","Roxbury, Boston, Massachusetts",1888,1926.0
Henrietta Learoyd Sperry,1850,,1850.0,,Teacher and Vice Principal at Abbot Academy,Pauline Sperry,"March 5, 1885","September 24, 1967","Peabody, Massachusetts",1885,1967.0
Willard Gardner Sperry,1847,,1847.0,,"High School Master, Pastor, President of Olivet College",Pauline Sperry,"March 5, 1885","September 24, 1967","Peabody, Massachusetts",1885,1967.0
Janet Methven Baxter,1845,,1845.0,,,Agnes Sime Baxter,"March 18, 1870","March 9, 1917","Halifax, Nova Scotia, Canada",1870,1917.0
Robert Baxter,1844,,1844.0,,Manager of the gas works in Halifax,Agnes Sime Baxter,"March 18, 1870","March 9, 1917","Halifax, Nova Scotia, Canada",1870,1917.0
Mary Bradley Watson,1866,1922,1866.0,1922.0,,Sister Mary Laetitia Hill,"December 22, 1898","April 10, 1992","Koerth, Texas",1898,1992.0
Thomas James Hill,1863,1936,1863.0,1936.0,Physician and livestock business,Sister Mary Laetitia Hill,"December 22, 1898","April 10, 1992","Koerth, Texas",1898,1992.0
Teresa Caraher,1867,1930,1867.0,1930.0,,Evelyn Carroll Rusk,"September 28, 1898","December 5, 1964","Rome, New York",1898,1964.0
William J. Carroll,1860,,1860.0,,Owner of a knitting mill,Evelyn Carroll Rusk,"September 28, 1898","December 5, 1964","Rome, New York",1898,1964.0
Julia Clutz,1881,1963,1881.0,1963.0,Unknown,Ruth Margaret Peters,"December 11, 1906","May 12, 1961","Gettysburg, Pennsylvania",1906,1961.0
Robert John Peters,ca. 1871,Unknown,1871.0,,"College Professor, Educational Secretary, Executive with the US Government",Ruth Margaret Peters,"December 11, 1906","May 12, 1961","Gettysburg, Pennsylvania",1906,1961.0
Roxana Nott,1848,,1848.0,,,Roxana Hayward Vivian,"December 9, 1871","May 31, 1961","Hyde Park, Massachusetts",1871,1961.0
Robert Hayward Vivian,1843,,1843.0,,Tailor,Roxana Hayward Vivian,"December 9, 1871","May 31, 1961","Hyde Park, Massachusetts",1871,1961.0
Mary E. Majerus,1876,1947,1876.0,1947.0,N/A,Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
John Edward Sullivan,1873,N/A,1873.0,2025.0,"Teacher, banker, land owner, community leader",Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
Emily Elizabeth Treadway,1874,,1874.0,,,Mildred Ellen Taylor,"July 25, 1898","November 3, 1978","Virginia, Illinois",1898,1978.0
Angus Taylor,1872,,1872.0,,Farmer,Mildred Ellen Taylor,"July 25, 1898","November 3, 1978","Virginia, Illinois",1898,1978.0
Lena Jones,1872,1956,1872.0,1956.0,Teacher,Lois Wilfred Griffiths,"June 27, 1899","November 9, 1981","Chagrin Falls, Ohio",1899,1981.0
Frederick William Griffiths,1867,1932,1867.0,1932.0,Congregational Minister,Lois Wilfred Griffiths,"June 27, 1899","November 9, 1981","Chagrin Falls, Ohio",1899,1981.0
Harriett Melvina Deaver,1835,1909,1835.0,1909.0,Unknown,Suzan Rose Benedict,"November 29, 1873","April 8, 1942","Ohio, USA",1873,1942.0
David DeForest Benedict,1833,1901,1833.0,1901.0,Doctor/Surgeon,Suzan Rose Benedict,"November 29, 1873","April 8, 1942","Ohio, USA",1873,1942.0
Anna Rheinhold,1876,1927,1876.0,1927.0,Teacher,Marion Belle Greenebaum Epstein,"June 14, 1915",,"Brooklyn, New York",1915,
Milton Greenebaum,1876,1976,1876.0,1976.0,Importer and Exporter,Marion Belle Greenebaum Epstein,"June 14, 1915",,"Brooklyn, New York",1915,
